## {'min_sep': 0.003, 'max_sep': 1.78, 'bin_size': 0.1, 'sep_units': 'deg', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 3155072.0}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR           DR         npairs   
  3.1535e-03   3.1556e-03  -5.7592e+00   4.3077e-01   2.7243e-01   1.9000e+01   1.3478e+01   1.3336e+01   1.9000e+01
  3.4843e-03   3.5144e-03  -5.6511e+00   1.9306e-01   2.4758e-01   1.9000e+01   1.6321e+01   1.6085e+01   1.9000e+01
  3.8499e-03   3.8497e-03  -5.5602e+00   2.2680e-01   2.2509e-01   2.4000e+01   1.9745e+01   1.9634e+01   2.4000e+01
  4.2539e-03   4.2906e-03  -5.4517e+00   3.2727e-01   2.0468e-01   3.1000e+01   2.3878e+01   2.3532e+01   3.1000e+01
  4.7002e-03   4.7290e-03  -5.3545e+00   2.0030e-01   1.8620e-01   3.4000e+01   2.8855e+01   2.8538e+01   3.4000e+01
  5.1934e-03   5.1776e-03  -5.2638e+00   3.9777e-01   1.6940e-01   4.8000e+01   3.4859e+01   3.4497e+01   4.8000e+01
  5.7383e-03   5.7519e-03  -5.1586e+00   9.4007e-02   1.5416e-01   4.5000e+01   4.2096e+01   4.1570e+01   4.5000e+01
  6.3404e-03   6.3231e-03  -5.0640e+00   2.4623e-01   1.4027e-01   6.2000e+01   5.0843e+01   5.0162e+01   6.2000e+01
  7.0057e-03   6.9804e-03  -4.9651e+00   3.4231e-01   1.2765e-01   8.1000e+01   6.1397e+01   6.0690e+01   8.1000e+01
  7.7407e-03   7.7881e-03  -4.8555e+00   3.0390e-01   1.1619e-01   9.5000e+01   7.4096e+01   7.3289e+01   9.5000e+01
  8.5529e-03   8.5582e-03  -4.7612e+00   3.4720e-01   1.0581e-01   1.1900e+02   8.9355e+01   8.8666e+01   1.1900e+02
