## {'min_sep': 0.003, 'max_sep': 1.78, 'bin_size': 0.1, 'sep_units': 'deg', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 2698164.5}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR           DR         npairs   
  3.1535e-03   3.1773e-03  -5.7521e+00   7.6404e-01   2.9459e-01   2.0000e+01   1.1527e+01   1.1360e+01   2.0000e+01
  3.4843e-03   3.5151e-03  -5.6510e+00   1.6031e-01   2.6772e-01   1.6000e+01   1.3957e+01   1.3860e+01   1.6000e+01
  3.8499e-03   3.8717e-03  -5.5544e+00   2.6034e-01   2.4340e-01   2.1000e+01   1.6886e+01   1.6745e+01   2.1000e+01
  4.2539e-03   4.2776e-03  -5.4547e+00   7.8236e-01   2.2133e-01   3.6000e+01   2.0421e+01   2.0222e+01   3.6000e+01
  4.7002e-03   4.7125e-03  -5.3580e+00   7.5609e-01   2.0133e-01   4.3000e+01   2.4679e+01   2.4510e+01   4.3000e+01
  5.1934e-03   5.2064e-03  -5.2583e+00   8.3694e-01   1.8319e-01   5.4000e+01   2.9809e+01   2.9430e+01   5.4000e+01
  5.7383e-03   5.7836e-03  -5.1531e+00   3.4409e-01   1.6669e-01   4.8000e+01   3.6000e+01   3.5807e+01   4.8000e+01
  6.3404e-03   6.4015e-03  -5.0517e+00   2.7750e-01   1.5168e-01   5.5000e+01   4.3482e+01   4.3208e+01   5.5000e+01
  7.0057e-03   6.9724e-03  -4.9662e+00   6.2698e-01   1.3803e-01   8.5000e+01   5.2503e+01   5.2292e+01   8.5000e+01
  7.7407e-03   7.7624e-03  -4.8589e+00   3.9599e-01   1.2564e-01   8.8000e+01   6.3370e+01   6.3138e+01   8.8000e+01
  8.5529e-03   8.5705e-03  -4.7598e+00   1.9168e-01   1.1442e-01   9.1000e+01   7.6412e+01   7.6383e+01   9.1000e+01
  9.4504e-03   9.4635e-03  -4.6607e+00   2.4799e-01   1.0423e-01   1.1500e+02   9.2078e+01   9.2122e+01   1.1500e+02
  1.0442e-02   1.0408e-02  -4.5656e+00   2.4520e-01   9.4991e-02   1.3800e+02   1.1086e+02   1.1084e+02   1.3800e+02
  1.1538e-02   1.1560e-02  -4.4606e+00   4.2536e-01   8.6608e-02   1.9100e+02   1.3336e+02   1.3382e+02   1.9100e+02
  1.2748e-02   1.2800e-02  -4.3587e+00   2.1944e-01   7.9011e-02   1.9700e+02   1.6024e+02   1.6104e+02   1.9700e+02
  1.4086e-02   1.4146e-02  -4.2587e+00   1.1163e-01   7.2121e-02   2.1500e+02   1.9232e+02   1.9293e+02   2.1500e+02
  1.5564e-02   1.5625e-02  -4.1593e+00   1.1902e-01   6.5876e-02   2.6200e+02   2.3052e+02   2.3254e+02   2.6200e+02
  1.7197e-02   1.7175e-02  -4.0647e+00   7.7444e-02   6.0218e-02   3.0000e+02   2.7587e+02   2.7725e+02   3.0000e+02
  1.9001e-02   1.9004e-02  -3.9635e+00   1.3213e-01   5.5083e-02   3.8000e+02   3.2970e+02   3.3307e+02   3.8000e+02
  2.0995e-02   2.1084e-02  -3.8596e+00   9.7860e-02   5.0377e-02   4.4200e+02   3.9417e+02   3.9880e+02   4.4200e+02
