## {'min_sep': 0.003, 'max_sep': 1.78, 'bin_size': 0.1, 'sep_units': 'deg', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 4557180.5}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR           DR         npairs   
  3.1535e-03   3.1416e-03  -5.7634e+00   6.3077e-01   2.2669e-01   3.2000e+01   1.9468e+01   1.9594e+01   3.2000e+01
  3.4843e-03   3.4577e-03  -5.6675e+00   1.0422e+00   2.0601e-01   4.8000e+01   2.3574e+01   2.3502e+01   4.8000e+01
  3.8499e-03   3.8687e-03  -5.5553e+00   7.2048e-01   1.8730e-01   4.9000e+01   2.8519e+01   2.8486e+01   4.9000e+01
  4.2539e-03   4.2600e-03  -5.4589e+00   6.5861e-01   1.7032e-01   5.7000e+01   3.4489e+01   3.4387e+01   5.7000e+01
  4.7002e-03   4.6990e-03  -5.3609e+00   4.1110e-01   1.5493e-01   5.9000e+01   4.1681e+01   4.1773e+01   5.9000e+01
  5.1934e-03   5.2027e-03  -5.2591e+00   6.5945e-01   1.4096e-01   8.4000e+01   5.0350e+01   5.0573e+01   8.4000e+01
  5.7383e-03   5.7285e-03  -5.1627e+00   7.3767e-01   1.2827e-01   1.0600e+02   6.0806e+01   6.0976e+01   1.0600e+02
  6.3404e-03   6.3637e-03  -5.0575e+00   6.6059e-01   1.1672e-01   1.2200e+02   7.3440e+01   7.3463e+01   1.2200e+02
  7.0057e-03   7.0317e-03  -4.9577e+00   4.9356e-01   1.0621e-01   1.3300e+02   8.8683e+01   8.8956e+01   1.3300e+02
  7.7407e-03   7.7460e-03  -4.8610e+00   4.8586e-01   9.6687e-02   1.5900e+02   1.0702e+02   1.0701e+02   1.5900e+02
  8.5529e-03   8.5305e-03  -4.7645e+00   2.4202e-01   8.8042e-02   1.6100e+02   1.2907e+02   1.2942e+02   1.6100e+02
  9.4504e-03   9.4510e-03  -4.6621e+00   2.0629e-01   8.0205e-02   1.8900e+02   1.5552e+02   1.5622e+02   1.8900e+02
  1.0442e-02   1.0445e-02  -4.5621e+00   2.7139e-01   7.3099e-02   2.3900e+02   1.8723e+02   1.8771e+02   2.3900e+02
  1.1538e-02   1.1541e-02  -4.4623e+00   2.4267e-01   6.6646e-02   2.8100e+02   2.2524e+02   2.2579e+02   2.8100e+02
  1.2748e-02   1.2791e-02  -4.3594e+00   2.9221e-01   6.0798e-02   3.5200e+02   2.7066e+02   2.7178e+02   3.5200e+02
  1.4086e-02   1.4103e-02  -4.2618e+00   1.9956e-01   5.5497e-02   3.9000e+02   3.2483e+02   3.2500e+02   3.9000e+02
  1.5564e-02   1.5615e-02  -4.1599e+00   1.0872e-01   5.0693e-02   4.3200e+02   3.8931e+02   3.8949e+02   4.3200e+02
  1.7197e-02   1.7186e-02  -4.0641e+00   2.9211e-01   4.6336e-02   6.0100e+02   4.6597e+02   4.6543e+02   6.0100e+02
  1.9001e-02   1.9031e-02  -3.9621e+00   2.4960e-01   4.2384e-02   6.9700e+02   5.5692e+02   5.5746e+02   6.9700e+02
  2.0995e-02   2.1044e-02  -3.8616e+00   6.5078e-02   3.8768e-02   7.1200e+02   6.6566e+02   6.6717e+02   7.1200e+02
  2.3198e-02   2.3246e-02  -3.7620e+00   1.0382e-01   3.5422e-02   8.8200e+02   7.9736e+02   7.9829e+02   8.8200e+02
  2.5632e-02   2.5680e-02  -3.6625e+00   1.3408e-01   3.2328e-02   1.1000e+03   9.5726e+02   9.6445e+02   1.1000e+03
  2.8321e-02   2.8397e-02  -3.5619e+00   2.2504e-01   2.9485e-02   1.4210e+03   1.1507e+03   1.1564e+03   1.4210e+03
  3.1293e-02   3.1344e-02  -3.4631e+00   5.9946e-02   2.6888e-02   1.4930e+03   1.3838e+03   1.3969e+03   1.4930e+03
  3.4576e-02   3.4627e-02  -3.3635e+00   6.9858e-02   2.4514e-02   1.8250e+03   1.6648e+03   1.6867e+03   1.8250e+03
  3.8204e-02   3.8256e-02  -3.2639e+00   4.9659e-02   2.2355e-02   2.1330e+03   2.0018e+03   2.0177e+03   2.1330e+03
  4.2212e-02   4.2276e-02  -3.1639e+00   1.4948e-01   2.0393e-02   2.7900e+03   2.4057e+03   2.4180e+03   2.7900e+03
  4.6642e-02   4.6690e-02  -3.0647e+00   1.2561e-01   1.8607e-02   3.2940e+03   2.8895e+03   2.9103e+03   3.2940e+03
  5.1535e-02   5.1635e-02  -2.9640e+00   1.0915e-01   1.6987e-02   3.8960e+03   3.4671e+03   3.4923e+03   3.8960e+03
  5.6943e-02   5.7065e-02  -2.8640e+00   7.1477e-02   1.5512e-02   4.5250e+03   4.1580e+03   4.1929e+03   4.5250e+03
  6.2917e-02   6.3023e-02  -2.7647e+00   9.9767e-02   1.4177e-02   5.5390e+03   4.9775e+03   5.0099e+03   5.5390e+03
  6.9519e-02   6.9669e-02  -2.6644e+00   9.7943e-02   1.2951e-02   6.6470e+03   5.9647e+03   6.0138e+03   6.6470e+03
  7.6813e-02   7.6975e-02  -2.5647e+00   5.4596e-02   1.1829e-02   7.6020e+03   7.1499e+03   7.1808e+03   7.6020e+03
  8.4873e-02   8.5004e-02  -2.4655e+00   9.7736e-02   1.0815e-02   9.4480e+03   8.5528e+03   8.5825e+03   9.4480e+03
  9.3778e-02   9.3939e-02  -2.3655e+00   5.7519e-02   9.9024e-03   1.0819e+04   1.0203e+04   1.0217e+04   1.0819e+04
  1.0362e-01   1.0378e-01  -2.2659e+00   4.8527e-02   9.0707e-03   1.2804e+04   1.2159e+04   1.2187e+04   1.2804e+04
  1.1449e-01   1.1462e-01  -2.1665e+00   3.0412e-02   8.3163e-03   1.4955e+04   1.4465e+04   1.4490e+04   1.4955e+04
  1.2650e-01   1.2674e-01  -2.0661e+00   3.5476e-02   7.6198e-03   1.7844e+04   1.7231e+04   1.7232e+04   1.7844e+04
  1.3978e-01   1.4008e-01  -1.9660e+00   3.5856e-02   6.9798e-03   2.1091e+04   2.0536e+04   2.0445e+04   2.1091e+04
  1.5444e-01   1.5484e-01  -1.8658e+00   2.6628e-02   6.3426e-03   2.5434e+04   2.4869e+04   2.4820e+04   2.5434e+04
  1.7065e-01   1.7102e-01  -1.7664e+00   3.0422e-02   5.7012e-03   3.1674e+04   3.0780e+04   3.0759e+04   3.1674e+04
  1.8855e-01   1.8891e-01  -1.6669e+00   5.7077e-02   5.1881e-03   3.8287e+04   3.7169e+04   3.6667e+04   3.8287e+04
  2.0834e-01   2.0867e-01  -1.5674e+00   3.5737e-02   4.7946e-03   4.4348e+04   4.3520e+04   4.3156e+04   4.4348e+04
  2.3020e-01   2.3058e-01  -1.4676e+00   3.5885e-02   4.4300e-03   5.2626e+04   5.0978e+04   5.0887e+04   5.2626e+04
  2.5435e-01   2.5473e-01  -1.3680e+00   1.9152e-02   4.1032e-03   6.0373e+04   5.9423e+04   5.9329e+04   6.0373e+04
  2.8104e-01   2.8160e-01  -1.2677e+00   3.0455e-02   3.8195e-03   7.0083e+04   6.8576e+04   6.8285e+04   7.0083e+04
  3.1052e-01   3.1110e-01  -1.1680e+00   1.6231e-02   3.5331e-03   8.1233e+04   8.0147e+04   8.0040e+04   8.1233e+04
  3.4311e-01   3.4362e-01  -1.0686e+00   1.1583e-02   3.2376e-03   9.4997e+04   9.5442e+04   9.4667e+04   9.4997e+04
  3.7911e-01   3.7959e-01  -9.6907e-01   1.3507e-02   2.9963e-03   1.0937e+05   1.1143e+05   1.0965e+05   1.0937e+05
  4.1888e-01   4.1930e-01  -8.6958e-01   8.0664e-03   2.8050e-03   1.2372e+05   1.2715e+05   1.2492e+05   1.2372e+05
  4.6284e-01   4.6353e-01  -7.6930e-01  -6.0478e-03   2.6301e-03   1.3636e+05   1.4462e+05   1.4093e+05   1.3636e+05
  5.1140e-01   5.1210e-01  -6.6964e-01  -4.1366e-03   2.4307e-03   1.5716e+05   1.6933e+05   1.6359e+05   1.5716e+05
  5.6506e-01   5.6583e-01  -5.6987e-01  -1.3895e-02   2.2621e-03   1.7953e+05   1.9551e+05   1.8888e+05   1.7953e+05
  6.2435e-01   6.2528e-01  -4.6997e-01  -1.9593e-02   2.1090e-03   2.0352e+05   2.2493e+05   2.1643e+05   2.0352e+05
  6.8986e-01   6.9095e-01  -3.7011e-01  -1.3958e-02   1.9583e-03   2.3682e+05   2.6088e+05   2.5067e+05   2.3682e+05
  7.6224e-01   7.6350e-01  -2.7025e-01  -1.3766e-02   1.8341e-03   2.7418e+05   2.9741e+05   2.8784e+05   2.7418e+05
  8.4222e-01   8.4352e-01  -1.7058e-01  -5.6343e-03   1.7282e-03   3.1713e+05   3.3497e+05   3.2699e+05   3.1713e+05
  9.3059e-01   9.3192e-01  -7.0922e-02  -1.1385e-02   1.6601e-03   3.5613e+05   3.6301e+05   3.6163e+05   3.5613e+05
  1.0282e+00   1.0289e+00   2.8105e-02  -3.3270e-03   1.6239e-03   3.8752e+05   3.7940e+05   3.8409e+05   3.8752e+05
  1.1361e+00   1.1368e+00   1.2782e-01   2.9875e-04   1.6463e-03   3.9778e+05   3.6911e+05   3.8339e+05   3.9778e+05
  1.2553e+00   1.2553e+00   2.2695e-01   5.9035e-03   1.7239e-03   3.8602e+05   3.3663e+05   3.6033e+05   3.8602e+05
  1.3870e+00   1.3833e+00   3.2405e-01   3.6395e-03   1.8687e-03   3.2412e+05   2.8650e+05   3.0479e+05   3.2412e+05
  1.5326e+00   1.5261e+00   4.2230e-01  -1.1448e-02   2.2216e-03   2.1042e+05   2.0271e+05   2.0773e+05   2.1042e+05
  1.6934e+00   1.6805e+00   5.1869e-01  -2.4592e-02   3.0891e-03   9.7004e+04   1.0484e+05   1.0221e+05   9.7004e+04
