## {'min_sep': 0.003, 'max_sep': 1.78, 'bin_size': 0.1, 'sep_units': 'deg', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 1049800.5}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR           DR         npairs   
  3.1535e-03   3.1744e-03  -5.7533e+00   1.4750e+00   4.7228e-01   1.1000e+01   4.4843e+00   4.4351e+00   1.1000e+01
  3.4843e-03   3.5222e-03  -5.6489e+00   1.0307e+00   4.2915e-01   1.1000e+01   5.4310e+00   5.4167e+00   1.1000e+01
  3.8499e-03   3.8731e-03  -5.5542e+00   1.8899e+00   3.9020e-01   1.9000e+01   6.5693e+00   6.5769e+00   1.9000e+01
  4.2539e-03   4.2665e-03  -5.4574e+00   7.8005e-01   3.5480e-01   1.4000e+01   7.9458e+00   7.8739e+00   1.4000e+01
  4.7002e-03   4.7002e-03  -5.3606e+00   9.9367e-01   3.2275e-01   1.9000e+01   9.6018e+00   9.5304e+00   1.9000e+01
  5.1934e-03   5.2515e-03  -5.2496e+00   7.3806e-01   2.9367e-01   2.0000e+01   1.1598e+01   1.1519e+01   2.0000e+01
  5.7383e-03   5.7636e-03  -5.1564e+00   1.4322e-01   2.6723e-01   1.6000e+01   1.4007e+01   1.4000e+01   1.6000e+01
  6.3404e-03   6.4254e-03  -5.0478e+00   5.5837e-01   2.4314e-01   2.6000e+01   1.6919e+01   1.6736e+01   2.6000e+01
  7.0057e-03   7.0087e-03  -4.9610e+00   2.2135e-01   2.2128e-01   2.5000e+01   2.0427e+01   2.0453e+01   2.5000e+01
  7.7407e-03   7.8053e-03  -4.8535e+00   5.5192e-01   2.0142e-01   3.8000e+01   2.4655e+01   2.4524e+01   3.8000e+01
  8.5529e-03   8.5657e-03  -4.7603e+00   2.1978e-01   1.8342e-01   3.6000e+01   2.9731e+01   2.9598e+01   3.6000e+01
  9.4504e-03   9.4097e-03  -4.6664e+00   2.5261e-01   1.6709e-01   4.5000e+01   3.5824e+01   3.5887e+01   4.5000e+01
  1.0442e-02   1.0525e-02  -4.5544e+00   8.6655e-02   1.5228e-01   4.7000e+01   4.3135e+01   4.3199e+01   4.7000e+01
  1.1538e-02   1.1528e-02  -4.4633e+00   3.2942e-01   1.3884e-01   6.9000e+01   5.1887e+01   5.1897e+01   6.9000e+01
  1.2748e-02   1.2792e-02  -4.3594e+00   2.0400e-01   1.2666e-01   7.5000e+01   6.2347e+01   6.2314e+01   7.5000e+01
