## {'min_sep': 0.003, 'max_sep': 1.78, 'bin_size': 0.1, 'sep_units': 'deg', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 9539712.0}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR           DR         npairs   
  3.1535e-03   3.1704e-03  -5.7543e+00   5.6594e-01   1.5670e-01   6.3000e+01   4.0754e+01   4.0345e+01   6.3000e+01
  3.4843e-03   3.4892e-03  -5.6585e+00   1.4835e-01   1.4240e-01   5.6000e+01   4.9349e+01   4.9014e+01   5.6000e+01
  3.8499e-03   3.8650e-03  -5.5562e+00   2.8567e-01   1.2947e-01   7.6000e+01   5.9696e+01   5.9321e+01   7.6000e+01
  4.2539e-03   4.2543e-03  -5.4603e+00   3.3347e-01   1.1772e-01   9.5000e+01   7.2202e+01   7.1562e+01   9.5000e+01
  4.7002e-03   4.7222e-03  -5.3559e+00   2.2222e-01   1.0709e-01   1.0500e+02   8.7255e+01   8.6433e+01   1.0500e+02
  5.1934e-03   5.2094e-03  -5.2577e+00   3.2084e-01   9.7439e-02   1.3700e+02   1.0539e+02   1.0429e+02   1.3700e+02
  5.7383e-03   5.7412e-03  -5.1605e+00   2.6348e-01   8.8666e-02   1.5800e+02   1.2728e+02   1.2587e+02   1.5800e+02
  6.3404e-03   6.3464e-03  -5.0603e+00   1.8948e-01   8.0678e-02   1.8000e+02   1.5374e+02   1.5230e+02   1.8000e+02
  7.0057e-03   7.0231e-03  -4.9589e+00   3.3289e-01   7.3420e-02   2.4400e+02   1.8563e+02   1.8392e+02   2.4400e+02
  7.7407e-03   7.7584e-03  -4.8594e+00   3.1932e-01   6.6829e-02   2.9200e+02   2.2405e+02   2.2225e+02   2.9200e+02
  8.5529e-03   8.5690e-03  -4.7600e+00   1.9082e-01   6.0858e-02   3.1800e+02   2.7018e+02   2.6831e+02   3.1800e+02
  9.4504e-03   9.4370e-03  -4.6635e+00   1.4045e-01   5.5443e-02   3.6500e+02   3.2553e+02   3.2240e+02   3.6500e+02
  1.0442e-02   1.0449e-02  -4.5616e+00   2.2165e-01   5.0525e-02   4.7300e+02   3.9199e+02   3.8905e+02   4.7300e+02
  1.1538e-02   1.1577e-02  -4.4592e+00   2.1476e-01   4.6068e-02   5.6600e+02   4.7150e+02   4.6812e+02   5.6600e+02
  1.2748e-02   1.2767e-02  -4.3613e+00   2.9779e-01   4.2027e-02   7.2500e+02   5.6654e+02   5.6141e+02   7.2500e+02
  1.4086e-02   1.4116e-02  -4.2608e+00   1.7157e-01   3.8359e-02   7.8800e+02   6.8005e+02   6.7569e+02   7.8800e+02
  1.5564e-02   1.5600e-02  -4.1609e+00   1.3585e-01   3.5041e-02   9.1500e+02   8.1496e+02   8.0962e+02   9.1500e+02
  1.7197e-02   1.7239e-02  -4.0610e+00   2.0725e-01   3.2029e-02   1.1680e+03   9.7544e+02   9.7064e+02   1.1680e+03
  1.9001e-02   1.9027e-02  -3.9623e+00   1.5892e-01   2.9299e-02   1.3410e+03   1.1657e+03   1.1607e+03   1.3410e+03
  2.0995e-02   2.1035e-02  -3.8620e+00   1.6175e-01   2.6796e-02   1.6100e+03   1.3937e+03   1.3891e+03   1.6100e+03
