3.971089065995584200e+00,1.123226063021740134e-01
3.974346025560429485e+00,1.138748309364732980e-01
3.975652210773641393e+00,1.114358661033732628e-01
3.971404437376871766e+00,1.202134028928274895e-01
3.972587364746042127e+00,1.131099613283642752e-01
3.974207274199781814e+00,1.147151594245238160e-01
3.975708931592291329e+00,1.134644860263954586e-01
3.975094862563118170e+00,1.109924669973575556e-01
3.971730578330539885e+00,1.111804463130608156e-01
3.971710830385708491e+00,1.121059288783138597e-01
3.973832183343455338e+00,1.105570748174313084e-01
3.973434428746809299e+00,1.124116174489440678e-01
3.973849671412246654e+00,1.111469030010685394e-01
3.971773037042573229e+00,1.195773095340074282e-01
3.970519108166850497e+00,1.099746029438207900e-01
3.977541558719942749e+00,1.145327234990465431e-01
3.976046978095840956e+00,1.101480194174495469e-01
3.974215526597842274e+00,1.120207153648259957e-01
3.974589186841238408e+00,1.117238296742883719e-01
3.973149156647367786e+00,1.124020787037912777e-01
3.996955831185712071e+00,1.099056375867291380e-01
