## {'min_sep': 0.003, 'max_sep': 1.78, 'bin_size': 0.1, 'sep_units': 'deg', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 1198152.0}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR           DR         npairs   
  3.1535e-03   3.1517e-03  -5.7603e+00   5.6869e-01   4.4205e-01   8.0000e+00   5.1187e+00   5.1039e+00   8.0000e+00
  3.4843e-03   3.4745e-03  -5.6626e+00   3.0201e-01   4.0174e-01   8.0000e+00   6.1974e+00   6.1629e+00   8.0000e+00
  3.8499e-03   3.8470e-03  -5.5608e+00   8.7060e-01   3.6523e-01   1.4000e+01   7.4984e+00   7.4851e+00   1.4000e+01
  4.2539e-03   4.2326e-03  -5.4655e+00  -1.0940e-01   3.3213e-01   8.0000e+00   9.0673e+00   9.0296e+00   8.0000e+00
  4.7002e-03   4.6565e-03  -5.3697e+00   9.5563e-02   3.0210e-01   1.2000e+01   1.0960e+01   1.0956e+01   1.2000e+01
  5.1934e-03   5.2166e-03  -5.2563e+00  -4.3308e-03   2.7489e-01   1.3000e+01   1.3237e+01   1.3147e+01   1.3000e+01
  5.7383e-03   5.7409e-03  -5.1606e+00   4.5677e-01   2.5013e-01   2.3000e+01   1.5987e+01   1.5842e+01   2.3000e+01
  6.3404e-03   6.3593e-03  -5.0582e+00   3.6198e-01   2.2760e-01   2.6000e+01   1.9309e+01   1.9160e+01   2.6000e+01
  7.0057e-03   7.0194e-03  -4.9594e+00   6.8365e-01   2.0713e-01   3.9000e+01   2.3315e+01   2.3188e+01   3.9000e+01
  7.7407e-03   7.7688e-03  -4.8582e+00   4.6482e-01   1.8854e-01   4.1000e+01   2.8139e+01   2.8030e+01   4.1000e+01
  8.5529e-03   8.5837e-03  -4.7582e+00   2.6228e-01   1.7169e-01   4.3000e+01   3.3932e+01   3.4016e+01   4.3000e+01
  9.4504e-03   9.4454e-03  -4.6627e+00   2.7485e-01   1.5640e-01   5.2000e+01   4.0889e+01   4.0825e+01   5.2000e+01
  1.0442e-02   1.0458e-02  -4.5608e+00   1.8799e-01   1.4254e-01   5.8000e+01   4.9230e+01   4.8988e+01   5.8000e+01
  1.1538e-02   1.1579e-02  -4.4589e+00   4.6824e-01   1.2996e-01   8.7000e+01   5.9222e+01   5.9246e+01   8.7000e+01
  1.2748e-02   1.2778e-02  -4.3605e+00   8.5700e-03   1.1856e-01   7.2000e+01   7.1156e+01   7.1273e+01   7.2000e+01
  1.4086e-02   1.4178e-02  -4.2565e+00   1.6984e-01   1.0822e-01   1.0000e+02   8.5399e+01   8.5447e+01   1.0000e+02
  1.5564e-02   1.5695e-02  -4.1548e+00   1.0938e-01   9.8850e-02   1.1400e+02   1.0236e+02   1.0258e+02   1.1400e+02
  1.7197e-02   1.7215e-02  -4.0624e+00   1.0861e-01   9.0357e-02   1.3700e+02   1.2251e+02   1.2310e+02   1.3700e+02
  1.9001e-02   1.8928e-02  -3.9675e+00   1.3612e-01   8.2654e-02   1.6800e+02   1.4641e+02   1.4724e+02   1.6800e+02
  2.0995e-02   2.0977e-02  -3.8647e+00   6.4168e-02   7.5598e-02   1.8900e+02   1.7502e+02   1.7639e+02   1.8900e+02
  2.3198e-02   2.3275e-02  -3.7608e+00   1.6909e-01   6.9075e-02   2.5000e+02   2.0963e+02   2.1209e+02   2.5000e+02
  2.5632e-02   2.5688e-02  -3.6622e+00   1.6287e-01   6.3042e-02   2.9900e+02   2.5167e+02   2.5484e+02   2.9900e+02
  2.8321e-02   2.8407e-02  -3.5615e+00   5.9117e-02   5.7502e-02   3.2700e+02   3.0250e+02   3.0581e+02   3.2700e+02
  3.1293e-02   3.1351e-02  -3.4629e+00   7.8565e-02   5.2434e-02   3.9900e+02   3.6381e+02   3.6712e+02   3.9900e+02
  3.4576e-02   3.4611e-02  -3.3640e+00   1.2569e-01   4.7801e-02   4.9500e+02   4.3775e+02   4.3887e+02   4.9500e+02
  3.8204e-02   3.8265e-02  -3.2636e+00   1.9031e-01   4.3592e-02   6.2600e+02   5.2637e+02   5.2610e+02   6.2600e+02
  4.2212e-02   4.2369e-02  -3.1617e+00   1.8637e-01   3.9771e-02   7.4700e+02   6.3237e+02   6.3076e+02   7.4700e+02
