## {'min_sep': 0.003, 'max_sep': 1.78, 'bin_size': 0.1, 'sep_units': 'deg', 'var_method': 'bootstrap', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 2679612.5}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR           DR         npairs   
  1.8855e-01   1.8883e-01  -1.6673e+00   1.6858e-02   1.1655e-01   2.4468e+04   2.4007e+04   2.4035e+04   2.4468e+04
  2.0834e-01   2.0863e-01  -1.5676e+00   2.6422e-02   1.2269e-01   2.8663e+04   2.7881e+04   2.7904e+04   2.8663e+04
  2.3020e-01   2.3060e-01  -1.4675e+00   2.6470e-03   1.1967e-01   3.3083e+04   3.2841e+04   3.2919e+04   3.3083e+04
  2.5435e-01   2.5477e-01  -1.3678e+00   8.0542e-03   1.1187e-01   3.8484e+04   3.8255e+04   3.8216e+04   3.8484e+04
  2.8104e-01   2.8148e-01  -1.2681e+00   1.7440e-02   1.0120e-01   4.4860e+04   4.4175e+04   4.4132e+04   4.4860e+04
  3.1052e-01   3.1113e-01  -1.1679e+00   1.7963e-02   9.0894e-02   5.2300e+04   5.1068e+04   5.1225e+04   5.2300e+04
  3.4311e-01   3.4359e-01  -1.0687e+00   2.8327e-02   9.0495e-02   6.3028e+04   6.1282e+04   6.1287e+04   6.3028e+04
  3.7911e-01   3.7976e-01  -9.6863e-01   1.4875e-02   9.4556e-02   7.3842e+04   7.1608e+04   7.2192e+04   7.3842e+04
  4.1888e-01   4.1952e-01  -8.6905e-01   1.4770e-02   8.9257e-02   8.4147e+04   8.2036e+04   8.2486e+04   8.4147e+04
  4.6284e-01   4.6352e-01  -7.6933e-01   8.1896e-03   8.5314e-02   9.4893e+04   9.3341e+04   9.3735e+04   9.4893e+04
  5.1140e-01   5.1215e-01  -6.6955e-01   1.5360e-02   9.0525e-02   1.1055e+05   1.0997e+05   1.0941e+05   1.1055e+05
  5.6506e-01   5.6582e-01  -5.6989e-01   5.7813e-03   8.7885e-02   1.2507e+05   1.2602e+05   1.2518e+05   1.2507e+05
  6.2435e-01   6.2515e-01  -4.7018e-01   3.9363e-03   8.2459e-02   1.3694e+05   1.3982e+05   1.3810e+05   1.3694e+05
  6.8986e-01   6.9093e-01  -3.7013e-01   5.4792e-03   8.5409e-02   1.5583e+05   1.5833e+05   1.5665e+05   1.5583e+05
  7.6224e-01   7.6313e-01  -2.7074e-01  -2.0562e-03   8.3999e-02   1.7719e+05   1.7912e+05   1.7834e+05   1.7719e+05
  8.4222e-01   8.4319e-01  -1.7097e-01  -1.2551e-02   7.3722e-02   1.9638e+05   1.9691e+05   1.9788e+05   1.9638e+05
  9.3059e-01   9.3156e-01  -7.1308e-02  -1.2005e-02   8.6966e-02   2.1735e+05   2.1763e+05   2.1880e+05   2.1735e+05
  1.0282e+00   1.0286e+00   2.7797e-02  -1.2266e-02   8.0547e-02   2.2662e+05   2.2787e+05   2.2864e+05   2.2662e+05
  1.1361e+00   1.1357e+00   1.2687e-01  -7.3814e-03   9.0091e-02   2.1870e+05   2.2361e+05   2.2198e+05   2.1870e+05
  1.2553e+00   1.2544e+00   2.2622e-01  -1.6030e-02   8.8167e-02   1.9118e+05   1.8856e+05   1.9138e+05   1.9118e+05
  1.3870e+00   1.3809e+00   3.2234e-01  -1.2169e-02   1.2048e-01   1.4185e+05   1.3671e+05   1.4011e+05   1.4185e+05
  1.5326e+00   1.5249e+00   4.2155e-01  -2.7141e-02   1.7172e-01   7.5833e+04   7.9235e+04   7.8609e+04   7.5833e+04
  1.6934e+00   1.6799e+00   5.1836e-01  -3.8115e-02   3.0200e-01   3.5758e+04   4.0724e+04   3.9017e+04   3.5758e+04
