## {'min_sep': 0.003, 'max_sep': 1.78, 'bin_size': 0.1, 'sep_units': 'deg', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 4860962.0}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR           DR         npairs   
  3.1535e-03   3.1874e-03  -5.7488e+00  -3.8763e-02   2.1950e-01   2.0000e+01   2.0766e+01   2.0785e+01   2.0000e+01
  3.4843e-03   3.4784e-03  -5.6616e+00  -9.1896e-02   1.9947e-01   2.3000e+01   2.5145e+01   2.5228e+01   2.3000e+01
  3.8499e-03   3.8585e-03  -5.5578e+00   1.4966e-01   1.8135e-01   3.5000e+01   3.0421e+01   3.0434e+01   3.5000e+01
  4.2539e-03   4.2721e-03  -5.4561e+00   3.5223e-01   1.6491e-01   5.0000e+01   3.6790e+01   3.6916e+01   5.0000e+01
  4.7002e-03   4.7012e-03  -5.3603e+00   3.9254e-01   1.5001e-01   6.2000e+01   4.4458e+01   4.4503e+01   6.2000e+01
  5.1934e-03   5.1784e-03  -5.2637e+00   7.0464e-02   1.3649e-01   5.8000e+01   5.3703e+01   5.3960e+01   5.8000e+01
  5.7383e-03   5.7168e-03  -5.1647e+00   2.1145e-02   1.2420e-01   6.7000e+01   6.4860e+01   6.5244e+01   6.7000e+01
  6.3404e-03   6.3578e-03  -5.0585e+00   2.0757e-01   1.1301e-01   9.5000e+01   7.8336e+01   7.8538e+01   9.5000e+01
  7.0057e-03   6.9848e-03  -4.9644e+00  -1.6582e-02   1.0284e-01   9.4000e+01   9.4590e+01   9.5079e+01   9.4000e+01
  7.7407e-03   7.7339e-03  -4.8625e+00   1.9911e-01   9.3614e-02   1.3900e+02   1.1416e+02   1.1522e+02   1.3900e+02
  8.5529e-03   8.5696e-03  -4.7600e+00   3.0033e-01   8.5249e-02   1.8000e+02   1.3767e+02   1.3816e+02   1.8000e+02
  9.4504e-03   9.4992e-03  -4.6570e+00   2.2118e-01   7.7659e-02   2.0500e+02   1.6589e+02   1.6710e+02   2.0500e+02
  1.0442e-02   1.0466e-02  -4.5600e+00   6.1785e-02   7.0776e-02   2.1600e+02   1.9972e+02   2.0169e+02   2.1600e+02
  1.1538e-02   1.1576e-02  -4.4592e+00   4.1346e-02   6.4532e-02   2.5500e+02   2.4024e+02   2.4265e+02   2.5500e+02
  1.2748e-02   1.2788e-02  -4.3597e+00   1.8157e-01   5.8867e-02   3.4700e+02   2.8871e+02   2.9164e+02   3.4700e+02
  1.4086e-02   1.4109e-02  -4.2614e+00   1.5191e-01   5.3734e-02   4.0600e+02   3.4650e+02   3.4993e+02   4.0600e+02
  1.5564e-02   1.5586e-02  -4.1618e+00   1.1423e-01   4.9083e-02   4.7200e+02   4.1528e+02   4.1992e+02   4.7200e+02
  1.7197e-02   1.7274e-02  -4.0590e+00   1.6290e-01   4.4867e-02   5.9000e+02   4.9700e+02   5.0302e+02   5.9000e+02
  1.9001e-02   1.9079e-02  -3.9596e+00   3.3894e-02   4.1040e-02   6.2600e+02   5.9400e+02   5.9993e+02   6.2600e+02
  2.0995e-02   2.1037e-02  -3.8619e+00   8.1166e-02   3.7535e-02   7.7800e+02   7.1010e+02   7.1523e+02   7.7800e+02
  2.3198e-02   2.3240e-02  -3.7623e+00   8.0161e-02   3.4297e-02   9.2900e+02   8.5051e+02   8.5567e+02   9.2900e+02
  2.5632e-02   2.5720e-02  -3.6609e+00   1.4199e-01   3.1304e-02   1.1790e+03   1.0209e+03   1.0275e+03   1.1790e+03
  2.8321e-02   2.8382e-02  -3.5624e+00   1.1071e-01   2.8549e-02   1.3830e+03   1.2275e+03   1.2373e+03   1.3830e+03
  3.1293e-02   3.1356e-02  -3.4628e+00   1.1487e-01   2.6033e-02   1.6660e+03   1.4762e+03   1.4863e+03   1.6660e+03
  3.4576e-02   3.4680e-02  -3.3620e+00   6.2673e-02   2.3737e-02   1.9070e+03   1.7756e+03   1.7857e+03   1.9070e+03
  3.8204e-02   3.8274e-02  -3.2634e+00   3.1858e-02   2.1645e-02   2.2290e+03   2.1355e+03   2.1482e+03   2.2290e+03
  4.2212e-02   4.2262e-02  -3.1643e+00   1.0281e-01   1.9746e-02   2.8550e+03   2.5659e+03   2.5785e+03   2.8550e+03
  4.6642e-02   4.6767e-02  -3.0630e+00   6.1336e-02   1.8016e-02   3.3210e+03   3.0822e+03   3.1071e+03   3.3210e+03
  5.1535e-02   5.1635e-02  -2.9640e+00   6.8142e-02   1.6446e-02   4.0000e+03   3.6988e+03   3.7234e+03   4.0000e+03
  5.6943e-02   5.7058e-02  -2.8641e+00   3.0814e-02   1.5021e-02   4.6570e+03   4.4343e+03   4.4773e+03   4.6570e+03
  6.2917e-02   6.3074e-02  -2.7639e+00   5.7994e-02   1.3727e-02   5.6520e+03   5.3096e+03   5.3269e+03   5.6520e+03
  6.9519e-02   6.9653e-02  -2.6646e+00   5.6738e-02   1.2539e-02   6.7770e+03   6.3630e+03   6.3895e+03   6.7770e+03
  7.6813e-02   7.6926e-02  -2.5653e+00   6.2108e-03   1.1455e-02   7.8240e+03   7.6242e+03   7.7004e+03   7.8240e+03
  8.4873e-02   8.5054e-02  -2.4649e+00   1.2705e-02   1.0471e-02   9.4690e+03   9.1257e+03   9.2394e+03   9.4690e+03
  9.3778e-02   9.3891e-02  -2.3660e+00   1.9426e-02   9.5888e-03   1.1356e+04   1.0881e+04   1.1013e+04   1.1356e+04
  1.0362e-01   1.0385e-01  -2.2652e+00   2.5672e-02   8.7827e-03   1.3675e+04   1.2970e+04   1.3156e+04   1.3675e+04
  1.1449e-01   1.1469e-01  -2.1659e+00  -1.1414e-02   8.0508e-03   1.5764e+04   1.5436e+04   1.5688e+04   1.5764e+04
  1.2650e-01   1.2672e-01  -2.0662e+00   2.5847e-02   7.3780e-03   1.9332e+04   1.8379e+04   1.8618e+04   1.9332e+04
  1.3978e-01   1.4009e-01  -1.9659e+00   1.3524e-02   6.7591e-03   2.2877e+04   2.1899e+04   2.2240e+04   2.2877e+04
  1.5444e-01   1.5477e-01  -1.8662e+00   1.9547e-02   6.1417e-03   2.8060e+04   2.6523e+04   2.7032e+04   2.8060e+04
  1.7065e-01   1.7098e-01  -1.7666e+00  -2.1189e-03   5.5181e-03   3.3933e+04   3.2857e+04   3.3430e+04   3.3933e+04
  1.8855e-01   1.8888e-01  -1.6670e+00   8.6504e-04   5.0237e-03   4.0807e+04   3.9642e+04   4.0207e+04   4.0807e+04
  2.0834e-01   2.0869e-01  -1.5673e+00   3.6275e-04   4.6429e-03   4.7848e+04   4.6410e+04   4.7121e+04   4.7848e+04
  2.3020e-01   2.3062e-01  -1.4674e+00  -5.3267e-03   4.2895e-03   5.5927e+04   5.4374e+04   5.5295e+04   5.5927e+04
  2.5435e-01   2.5476e-01  -1.3679e+00  -8.4620e-03   3.9738e-03   6.5009e+04   6.3356e+04   6.4451e+04   6.5009e+04
  2.8104e-01   2.8152e-01  -1.2680e+00  -1.4549e-03   3.6964e-03   7.6281e+04   7.3221e+04   7.4804e+04   7.6281e+04
  3.1052e-01   3.1113e-01  -1.1680e+00  -5.7818e-03   3.4220e-03   9.0059e+04   8.5434e+04   8.7993e+04   9.0059e+04
  3.4311e-01   3.4364e-01  -1.0686e+00  -2.8903e-03   3.1352e-03   1.0744e+05   1.0178e+05   1.0476e+05   1.0744e+05
  3.7911e-01   3.7971e-01  -9.6877e-01  -1.4500e-03   2.9007e-03   1.2438e+05   1.1890e+05   1.2173e+05   1.2438e+05
  4.1888e-01   4.1946e-01  -8.6920e-01   4.6394e-03   2.7161e-03   1.4165e+05   1.3562e+05   1.3832e+05   1.4165e+05
  4.6284e-01   4.6354e-01  -7.6928e-01   5.7313e-03   2.5480e-03   1.6026e+05   1.5410e+05   1.5674e+05   1.6026e+05
  5.1140e-01   5.1208e-01  -6.6968e-01  -1.9433e-03   2.3527e-03   1.8493e+05   1.8075e+05   1.8302e+05   1.8493e+05
  5.6506e-01   5.6588e-01  -5.6978e-01   3.5310e-03   2.1903e-03   2.1438e+05   2.0854e+05   2.1109e+05   2.1438e+05
  6.2435e-01   6.2541e-01  -4.6976e-01  -1.1404e-04   2.0419e-03   2.4645e+05   2.3996e+05   2.4322e+05   2.4645e+05
  6.8986e-01   6.9088e-01  -3.7021e-01  -1.4292e-03   1.8963e-03   2.8545e+05   2.7821e+05   2.8203e+05   2.8545e+05
  7.6224e-01   7.6341e-01  -2.7038e-01  -1.7677e-03   1.7757e-03   3.2854e+05   3.1731e+05   3.2321e+05   3.2854e+05
  8.4222e-01   8.4313e-01  -1.7104e-01  -3.2491e-03   1.6738e-03   3.7250e+05   3.5712e+05   3.6539e+05   3.7250e+05
  9.3059e-01   9.3136e-01  -7.1520e-02  -2.9267e-03   1.6067e-03   3.9710e+05   3.8755e+05   3.9289e+05   3.9710e+05
  1.0282e+00   1.0283e+00   2.7535e-02  -1.6593e-03   1.5729e-03   4.0821e+05   4.0441e+05   4.0665e+05   4.0821e+05
  1.1361e+00   1.1360e+00   1.2712e-01  -3.8082e-03   1.5941e-03   3.9362e+05   3.9368e+05   3.9440e+05   3.9362e+05
  1.2553e+00   1.2543e+00   2.2616e-01  -4.4525e-03   1.6686e-03   3.4675e+05   3.5933e+05   3.5384e+05   3.4675e+05
  1.3870e+00   1.3831e+00   3.2394e-01  -4.2989e-03   1.8095e-03   2.7870e+05   3.0555e+05   2.9278e+05   2.7870e+05
  1.5326e+00   1.5268e+00   4.2276e-01  -8.1475e-05   2.1518e-03   1.8044e+05   2.1607e+05   1.9827e+05   1.8044e+05
  1.6934e+00   1.6805e+00   5.1873e-01   1.2605e-02   2.9910e-03   8.6769e+04   1.1183e+05   9.8595e+04   8.6769e+04
