## {'min_sep': 0.003, 'max_sep': 1.78, 'bin_size': 0.1, 'sep_units': 'deg', 'var_method': 'bootstrap', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 4557180.5}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR           DR         npairs   
  1.8855e-01   1.8889e-01  -1.6670e+00   5.2899e-02   1.3000e-01   3.8374e+04   3.7152e+04   3.6780e+04   3.8374e+04
  2.0834e-01   2.0869e-01  -1.5673e+00   4.0318e-02   1.2464e-01   4.4428e+04   4.3503e+04   4.3088e+04   4.4428e+04
  2.3020e-01   2.3059e-01  -1.4675e+00   3.6822e-02   1.1830e-01   5.2477e+04   5.0986e+04   5.0793e+04   5.2477e+04
  2.5435e-01   2.5476e-01  -1.3678e+00   2.1725e-02   1.0882e-01   6.0516e+04   5.9441e+04   5.9333e+04   6.0516e+04
  2.8104e-01   2.8160e-01  -1.2677e+00   2.4418e-02   9.9732e-02   6.9967e+04   6.8553e+04   6.8423e+04   6.9967e+04
  3.1052e-01   3.1111e-01  -1.1680e+00   1.7548e-02   9.7743e-02   8.1392e+04   8.0144e+04   8.0065e+04   8.1392e+04
  3.4311e-01   3.4364e-01  -1.0686e+00   1.2502e-02   9.8777e-02   9.4861e+04   9.5483e+04   9.4575e+04   9.4861e+04
  3.7911e-01   3.7960e-01  -9.6904e-01   1.2272e-02   1.0135e-01   1.0947e+05   1.1148e+05   1.0979e+05   1.0947e+05
  4.1888e-01   4.1932e-01  -8.6954e-01   8.0781e-03   9.8141e-02   1.2356e+05   1.2717e+05   1.2485e+05   1.2356e+05
  4.6284e-01   4.6352e-01  -7.6931e-01  -2.8628e-03   9.6281e-02   1.3645e+05   1.4454e+05   1.4070e+05   1.3645e+05
  5.1140e-01   5.1212e-01  -6.6961e-01  -6.7940e-03   9.2480e-02   1.5720e+05   1.6923e+05   1.6379e+05   1.5720e+05
  5.6506e-01   5.6584e-01  -5.6986e-01  -1.3431e-02   8.8841e-02   1.7941e+05   1.9548e+05   1.8876e+05   1.7941e+05
  6.2435e-01   6.2528e-01  -4.6997e-01  -1.8663e-02   8.5896e-02   2.0360e+05   2.2501e+05   2.1641e+05   2.0360e+05
  6.8986e-01   6.9093e-01  -3.7013e-01  -1.5336e-02   8.6363e-02   2.3666e+05   2.6085e+05   2.5076e+05   2.3666e+05
  7.6224e-01   7.6350e-01  -2.7026e-01  -1.2645e-02   8.9376e-02   2.7436e+05   2.9752e+05   2.8782e+05   2.7436e+05
  8.4222e-01   8.4353e-01  -1.7058e-01  -7.6853e-03   8.7033e-02   3.1706e+05   3.3468e+05   3.2716e+05   3.1706e+05
  9.3059e-01   9.3189e-01  -7.0951e-02  -1.0443e-02   8.1381e-02   3.5597e+05   3.6330e+05   3.6153e+05   3.5597e+05
  1.0282e+00   1.0289e+00   2.8063e-02  -3.0864e-03   8.2908e-02   3.8754e+05   3.7942e+05   3.8407e+05   3.8754e+05
  1.1361e+00   1.1368e+00   1.2781e-01   6.7059e-04   8.9325e-02   3.9792e+05   3.6890e+05   3.8329e+05   3.9792e+05
  1.2553e+00   1.2553e+00   2.2695e-01   5.7224e-03   9.7757e-02   3.8604e+05   3.3690e+05   3.6051e+05   3.8604e+05
  1.3870e+00   1.3833e+00   3.2406e-01   3.7498e-03   1.0865e-01   3.2413e+05   2.8634e+05   3.0470e+05   3.2413e+05
  1.5326e+00   1.5260e+00   4.2228e-01  -1.1865e-02   1.2902e-01   2.1032e+05   2.0268e+05   2.0770e+05   2.1032e+05
  1.6934e+00   1.6804e+00   5.1865e-01  -2.3284e-02   1.7957e-01   9.7075e+04   1.0493e+05   1.0222e+05   9.7075e+04
