## {'min_sep': 0.003, 'max_sep': 1.78, 'bin_size': 0.1, 'sep_units': 'deg', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 134841042.0}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR           DR         npairs   
  3.1535e-03   3.1598e-03  -5.7576e+00   2.9860e-02   4.1716e-02   5.9100e+02   5.7605e+02   5.7492e+02   5.9100e+02
  3.4843e-03   3.4969e-03  -5.6563e+00   7.3263e-02   3.7911e-02   7.4000e+02   6.9747e+02   6.9319e+02   7.4000e+02
  3.8499e-03   3.8549e-03  -5.5588e+00  -1.2834e-02   3.4467e-02   8.3200e+02   8.4384e+02   8.4333e+02   8.3200e+02
  4.2539e-03   4.2593e-03  -5.4591e+00   6.4939e-02   3.1341e-02   1.0760e+03   1.0206e+03   1.0152e+03   1.0760e+03
  4.7002e-03   4.7134e-03  -5.3577e+00   3.3805e-02   2.8511e-02   1.2650e+03   1.2332e+03   1.2283e+03   1.2650e+03
  5.1934e-03   5.2052e-03  -5.2585e+00   1.8917e-02   2.5940e-02   1.5060e+03   1.4898e+03   1.4838e+03   1.5060e+03
  5.7383e-03   5.7476e-03  -5.1594e+00   5.1689e-02   2.3605e-02   1.8840e+03   1.7991e+03   1.7951e+03   1.8840e+03
  6.3404e-03   6.3592e-03  -5.0583e+00   1.3172e-02   2.1478e-02   2.1920e+03   2.1730e+03   2.1682e+03   2.1920e+03
  7.0057e-03   7.0186e-03  -4.9596e+00   1.6881e-02   1.9546e-02   2.6590e+03   2.6239e+03   2.6193e+03   2.6590e+03
  7.7407e-03   7.7572e-03  -4.8595e+00   2.2573e-02   1.7792e-02   3.2250e+03   3.1667e+03   3.1601e+03   3.2250e+03
  8.5529e-03   8.5707e-03  -4.7598e+00   5.0522e-03   1.6202e-02   3.8270e+03   3.8190e+03   3.8134e+03   3.8270e+03
  9.4504e-03   9.4713e-03  -4.6599e+00   4.5415e-03   1.4760e-02   4.5950e+03   4.6012e+03   4.5877e+03   4.5950e+03
  1.0442e-02   1.0460e-02  -4.5606e+00   8.1500e-03   1.3451e-02   5.5510e+03   5.5404e+03   5.5231e+03   5.5510e+03
  1.1538e-02   1.1563e-02  -4.4604e+00   8.0046e-03   1.2264e-02   6.6860e+03   6.6650e+03   6.6488e+03   6.6860e+03
  1.2748e-02   1.2769e-02  -4.3612e+00   2.1462e-02   1.1188e-02   8.1450e+03   8.0086e+03   7.9909e+03   8.1450e+03
  1.4086e-02   1.4112e-02  -4.2612e+00   2.2771e-02   1.0213e-02   9.7980e+03   9.6106e+03   9.5949e+03   9.7980e+03
  1.5564e-02   1.5594e-02  -4.1613e+00   2.1819e-02   9.3283e-03   1.1718e+04   1.1520e+04   1.1493e+04   1.1718e+04
  1.7197e-02   1.7224e-02  -4.0619e+00   1.8982e-02   8.5268e-03   1.4006e+04   1.3788e+04   1.3766e+04   1.4006e+04
  1.9001e-02   1.9042e-02  -3.9615e+00  -3.3193e-04   7.8004e-03   1.6416e+04   1.6475e+04   1.6448e+04   1.6416e+04
  2.0995e-02   2.1025e-02  -3.8625e+00   1.3874e-02   7.1335e-03   1.9968e+04   1.9699e+04   1.9697e+04   1.9968e+04
  2.3198e-02   2.3241e-02  -3.7623e+00   1.9383e-02   6.5188e-03   2.3972e+04   2.3590e+04   2.3553e+04   2.3972e+04
  2.5632e-02   2.5684e-02  -3.6623e+00   6.7339e-03   5.9487e-03   2.8486e+04   2.8328e+04   2.8312e+04   2.8486e+04
  2.8321e-02   2.8368e-02  -3.5629e+00   3.7027e-03   5.4267e-03   3.4136e+04   3.4040e+04   3.4025e+04   3.4136e+04
  3.1293e-02   3.1358e-02  -3.4627e+00   1.2831e-02   4.9477e-03   4.1419e+04   4.0951e+04   4.0922e+04   4.1419e+04
  3.4576e-02   3.4645e-02  -3.3630e+00   1.9944e-02   4.5111e-03   5.0237e+04   4.9261e+04   4.9258e+04   5.0237e+04
  3.8204e-02   3.8267e-02  -3.2636e+00   7.2684e-03   4.1140e-03   5.9254e+04   5.9229e+04   5.9026e+04   5.9254e+04
  4.2212e-02   4.2290e-02  -3.1636e+00   1.3820e-02   3.7527e-03   7.1640e+04   7.1184e+04   7.0920e+04   7.1640e+04
  4.6642e-02   4.6723e-02  -3.0639e+00   9.3253e-03   3.4243e-03   8.5844e+04   8.5490e+04   8.5268e+04   8.5844e+04
  5.1535e-02   5.1644e-02  -2.9638e+00   3.9726e-03   3.1257e-03   1.0266e+05   1.0261e+05   1.0243e+05   1.0266e+05
