## {'min_sep': 0.003, 'max_sep': 1.78, 'bin_size': 0.1, 'sep_units': 'deg', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 2580992.0}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR           DR         npairs   
  3.1535e-03   3.1525e-03  -5.7599e+00   1.1759e+00   3.0122e-01   2.4000e+01   1.1025e+01   1.1030e+01   2.4000e+01
  3.4843e-03   3.4615e-03  -5.6665e+00   1.1761e+00   2.7372e-01   2.9000e+01   1.3351e+01   1.3324e+01   2.9000e+01
  3.8499e-03   3.8394e-03  -5.5629e+00   8.5334e-01   2.4886e-01   3.0000e+01   1.6152e+01   1.6184e+01   3.0000e+01
  4.2539e-03   4.2551e-03  -5.4600e+00   8.4880e-01   2.2629e-01   3.6000e+01   1.9536e+01   1.9477e+01   3.6000e+01
  4.7002e-03   4.6954e-03  -5.3615e+00   8.1455e-01   2.0586e-01   4.3000e+01   2.3605e+01   2.3689e+01   4.3000e+01
  5.1934e-03   5.2034e-03  -5.2589e+00   6.8664e-01   1.8730e-01   4.8000e+01   2.8514e+01   2.8468e+01   4.8000e+01
  5.7383e-03   5.7623e-03  -5.1568e+00   5.1883e-01   1.7044e-01   5.2000e+01   3.4436e+01   3.4285e+01   5.2000e+01
  6.3404e-03   6.3546e-03  -5.0590e+00   7.1234e-01   1.5508e-01   7.1000e+01   4.1594e+01   4.1482e+01   7.1000e+01
  7.0057e-03   7.0057e-03  -4.9614e+00   2.8083e-01   1.4113e-01   6.4000e+01   5.0226e+01   5.0061e+01   6.4000e+01
  7.7407e-03   7.7376e-03  -4.8621e+00   6.4224e-01   1.2847e-01   9.9000e+01   6.0612e+01   6.0342e+01   9.9000e+01
  8.5529e-03   8.5440e-03  -4.7629e+00   3.2899e-01   1.1698e-01   9.6000e+01   7.3096e+01   7.2524e+01   9.6000e+01
  9.4504e-03   9.4454e-03  -4.6626e+00   6.8799e-01   1.0657e-01   1.4800e+02   8.8083e+01   8.7741e+01   1.4800e+02
  1.0442e-02   1.0481e-02  -4.5586e+00   6.3558e-01   9.7127e-02   1.7100e+02   1.0604e+02   1.0482e+02   1.7100e+02
  1.1538e-02   1.1589e-02  -4.4581e+00   4.8697e-01   8.8552e-02   1.8700e+02   1.2757e+02   1.2622e+02   1.8700e+02
  1.2748e-02   1.2738e-02  -4.3636e+00   3.4341e-01   8.0784e-02   2.0300e+02   1.5328e+02   1.5182e+02   2.0300e+02
  1.4086e-02   1.4131e-02  -4.2599e+00   3.3680e-01   7.3739e-02   2.4100e+02   1.8397e+02   1.8151e+02   2.4100e+02
  1.5564e-02   1.5572e-02  -4.1627e+00   3.9318e-01   6.7354e-02   3.0400e+02   2.2051e+02   2.1890e+02   3.0400e+02
  1.7197e-02   1.7244e-02  -4.0607e+00   2.8809e-01   6.1569e-02   3.3500e+02   2.6389e+02   2.6143e+02   3.3500e+02
  1.9001e-02   1.8982e-02  -3.9647e+00   2.7236e-01   5.6318e-02   3.9800e+02   3.1539e+02   3.1375e+02   3.9800e+02
  2.0995e-02   2.0978e-02  -3.8647e+00   3.0326e-01   5.1510e-02   4.8700e+02   3.7703e+02   3.7484e+02   4.8700e+02
  2.3198e-02   2.3258e-02  -3.7615e+00   1.9573e-01   4.7067e-02   5.3600e+02   4.5156e+02   4.4959e+02   5.3600e+02
  2.5632e-02   2.5715e-02  -3.6611e+00   2.6235e-01   4.2954e-02   6.8300e+02   5.4218e+02   5.4147e+02   6.8300e+02
  2.8321e-02   2.8391e-02  -3.5621e+00   3.3471e-01   3.9181e-02   8.7000e+02   6.5161e+02   6.5175e+02   8.7000e+02
  3.1293e-02   3.1370e-02  -3.4623e+00   2.2351e-01   3.5723e-02   9.6400e+02   7.8390e+02   7.8635e+02   9.6400e+02
  3.4576e-02   3.4650e-02  -3.3629e+00   2.4035e-01   3.2572e-02   1.1700e+03   9.4287e+02   9.4313e+02   1.1700e+03
  3.8204e-02   3.8266e-02  -3.2636e+00   8.0086e-02   2.9704e-02   1.2290e+03   1.1337e+03   1.1360e+03   1.2290e+03
  4.2212e-02   4.2330e-02  -3.1627e+00   1.4397e-01   2.7097e-02   1.5430e+03   1.3624e+03   1.3546e+03   1.5430e+03
  4.6642e-02   4.6761e-02  -3.0631e+00   1.6458e-01   2.4723e-02   1.8910e+03   1.6366e+03   1.6291e+03   1.8910e+03
  5.1535e-02   5.1663e-02  -2.9634e+00   1.4097e-01   2.2570e-02   2.2110e+03   1.9637e+03   1.9489e+03   2.2110e+03
  5.6943e-02   5.7026e-02  -2.8647e+00   9.6942e-02   2.0613e-02   2.5550e+03   2.3543e+03   2.3405e+03   2.5550e+03
  6.2917e-02   6.3002e-02  -2.7650e+00   1.7334e-01   1.8837e-02   3.2480e+03   2.8193e+03   2.7893e+03   3.2480e+03
  6.9519e-02   6.9655e-02  -2.6646e+00   9.1153e-02   1.7207e-02   3.6200e+03   3.3787e+03   3.3454e+03   3.6200e+03
  7.6813e-02   7.6935e-02  -2.5652e+00   9.6828e-02   1.5722e-02   4.3740e+03   4.0469e+03   4.0145e+03   4.3740e+03
  8.4873e-02   8.5015e-02  -2.4653e+00   9.1024e-02   1.4367e-02   5.2280e+03   4.8463e+03   4.8166e+03   5.2280e+03
  9.3778e-02   9.4001e-02  -2.3649e+00   7.9479e-02   1.3157e-02   6.1790e+03   5.7784e+03   5.7491e+03   6.1790e+03
  1.0362e-01   1.0385e-01  -2.2653e+00   9.6622e-02   1.2054e-02   7.5980e+03   6.8848e+03   6.9088e+03   7.5980e+03
  1.1449e-01   1.1468e-01  -2.1660e+00   1.0279e-01   1.1048e-02   9.1120e+03   8.1955e+03   8.2325e+03   9.1120e+03
  1.2650e-01   1.2675e-01  -2.0660e+00   6.2438e-02   1.0125e-02   1.0465e+04   9.7578e+03   9.8068e+03   1.0465e+04
  1.3978e-01   1.4008e-01  -1.9660e+00   6.9378e-02   9.2740e-03   1.2621e+04   1.1631e+04   1.1723e+04   1.2621e+04
  1.5444e-01   1.5478e-01  -1.8662e+00   8.5025e-02   8.4281e-03   1.5573e+04   1.4083e+04   1.4229e+04   1.5573e+04
  1.7065e-01   1.7105e-01  -1.7662e+00   7.9571e-02   7.5712e-03   1.9342e+04   1.7451e+04   1.7702e+04   1.9342e+04
  1.8855e-01   1.8886e-01  -1.6672e+00   7.5851e-02   6.8958e-03   2.3210e+04   2.1037e+04   2.1326e+04   2.3210e+04
  2.0834e-01   2.0867e-01  -1.5674e+00   6.7863e-02   6.3693e-03   2.7271e+04   2.4659e+04   2.5128e+04   2.7271e+04
  2.3020e-01   2.3048e-01  -1.4680e+00   4.1784e-02   5.8893e-03   3.1419e+04   2.8842e+04   2.9528e+04   3.1419e+04
  2.5435e-01   2.5486e-01  -1.3675e+00   3.9287e-02   5.4503e-03   3.6480e+04   3.3675e+04   3.4416e+04   3.6480e+04
  2.8104e-01   2.8145e-01  -1.2682e+00   2.6691e-02   5.0762e-03   4.2061e+04   3.8822e+04   3.9923e+04   4.2061e+04
  3.1052e-01   3.1115e-01  -1.1679e+00   3.2981e-02   4.6961e-03   4.9417e+04   4.5359e+04   4.6640e+04   4.9417e+04
  3.4311e-01   3.4358e-01  -1.0688e+00   1.9880e-02   4.3001e-03   5.7965e+04   5.4100e+04   5.5495e+04   5.7965e+04
  3.7911e-01   3.7965e-01  -9.6892e-01   1.6062e-02   3.9808e-03   6.7211e+04   6.3124e+04   6.4661e+04   6.7211e+04
  4.1888e-01   4.1940e-01  -8.6936e-01   1.6227e-02   3.7278e-03   7.6364e+04   7.1985e+04   7.3591e+04   7.6364e+04
  4.6284e-01   4.6368e-01  -7.6898e-01   1.6361e-02   3.4950e-03   8.7339e+04   8.1896e+04   8.3948e+04   8.7339e+04
  5.1140e-01   5.1210e-01  -6.6965e-01   8.5632e-03   3.2286e-03   9.9961e+04   9.5965e+04   9.7552e+04   9.9961e+04
  5.6506e-01   5.6604e-01  -5.6951e-01   5.9000e-03   3.0057e-03   1.1533e+05   1.1072e+05   1.1270e+05   1.1533e+05
  6.2435e-01   6.2528e-01  -4.6998e-01  -5.0723e-03   2.8031e-03   1.2952e+05   1.2732e+05   1.2874e+05   1.2952e+05
  6.8986e-01   6.9076e-01  -3.7038e-01  -1.1185e-02   2.6021e-03   1.4775e+05   1.4774e+05   1.4857e+05   1.4775e+05
  7.6224e-01   7.6315e-01  -2.7072e-01  -2.0318e-02   2.4362e-03   1.6695e+05   1.6854e+05   1.6946e+05   1.6695e+05
  8.4222e-01   8.4317e-01  -1.7100e-01  -2.3181e-02   2.2973e-03   1.8633e+05   1.8954e+05   1.9014e+05   1.8633e+05
  9.3059e-01   9.3148e-01  -7.1399e-02  -3.7187e-02   2.2049e-03   1.9701e+05   2.0577e+05   2.0521e+05   1.9701e+05
  1.0282e+00   1.0286e+00   2.7832e-02  -2.4170e-02   2.1579e-03   2.0653e+05   2.1482e+05   2.1327e+05   2.0653e+05
  1.1361e+00   1.1364e+00   1.2741e-01  -1.5492e-02   2.1875e-03   2.0149e+05   2.0904e+05   2.0689e+05   2.0149e+05
  1.2553e+00   1.2544e+00   2.2621e-01  -1.9693e-03   2.2900e-03   1.8084e+05   1.9075e+05   1.8598e+05   1.8084e+05
  1.3870e+00   1.3847e+00   3.2509e-01   1.4226e-03   2.4838e-03   1.5581e+05   1.6215e+05   1.5887e+05   1.5581e+05
  1.5326e+00   1.5277e+00   4.2337e-01  -1.2033e-04   2.9520e-03   1.1242e+05   1.1479e+05   1.1361e+05   1.1242e+05
  1.6934e+00   1.6794e+00   5.1805e-01  -3.2336e-03   4.1040e-03   5.4297e+04   5.9393e+04   5.6941e+04   5.4297e+04
