## {'min_sep': 0.003, 'max_sep': 1.78, 'bin_size': 0.1, 'sep_units': 'deg', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 3674760.5}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR           DR         npairs   
  3.1535e-03   3.1755e-03  -5.7527e+00   1.4935e+00   2.5244e-01   3.9000e+01   1.5698e+01   1.5626e+01   3.9000e+01
  3.4843e-03   3.4975e-03  -5.6560e+00   9.0373e-01   2.2941e-01   3.6000e+01   1.9009e+01   1.8915e+01   3.6000e+01
  3.8499e-03   3.8426e-03  -5.5621e+00   9.1939e-01   2.0857e-01   4.4000e+01   2.2998e+01   2.2927e+01   4.4000e+01
  4.2539e-03   4.2646e-03  -5.4577e+00   6.8506e-01   1.8966e-01   4.7000e+01   2.7812e+01   2.7879e+01   4.7000e+01
  4.7002e-03   4.6911e-03  -5.3625e+00   8.5636e-01   1.7252e-01   6.2000e+01   3.3610e+01   3.3414e+01   6.2000e+01
  5.1934e-03   5.2050e-03  -5.2586e+00   7.5252e-01   1.5697e-01   7.1000e+01   4.0600e+01   4.0524e+01   7.1000e+01
  5.7383e-03   5.7288e-03  -5.1627e+00   6.3892e-01   1.4284e-01   8.0000e+01   4.9029e+01   4.8852e+01   8.0000e+01
  6.3404e-03   6.3681e-03  -5.0568e+00   5.3663e-01   1.2998e-01   9.1000e+01   5.9218e+01   5.9220e+01   9.1000e+01
  7.0057e-03   6.9798e-03  -4.9651e+00   6.0699e-01   1.1828e-01   1.1500e+02   7.1509e+01   7.1552e+01   1.1500e+02
  7.7407e-03   7.7569e-03  -4.8596e+00   4.2181e-01   1.0766e-01   1.2300e+02   8.6308e+01   8.6451e+01   1.2300e+02
  8.5529e-03   8.5706e-03  -4.7598e+00   3.5172e-01   9.8047e-02   1.4100e+02   1.0407e+02   1.0423e+02   1.4100e+02
  9.4504e-03   9.4701e-03  -4.6600e+00   4.2375e-01   8.9315e-02   1.8000e+02   1.2541e+02   1.2613e+02   1.8000e+02
