## {'min_sep': 0.003, 'max_sep': 1.78, 'bin_size': 0.1, 'sep_units': 'deg', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 148367538.0}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR           DR         npairs   
  3.1535e-03   3.1603e-03  -5.7575e+00   1.0563e-02   3.9775e-02   6.3700e+02   6.3371e+02   6.3201e+02   6.3700e+02
  3.4843e-03   3.4957e-03  -5.6567e+00   9.0857e-02   3.6142e-02   8.2700e+02   7.6751e+02   7.6239e+02   8.2700e+02
  3.8499e-03   3.8548e-03  -5.5588e+00   2.7737e-02   3.2859e-02   9.4600e+02   9.2857e+02   9.2441e+02   9.4600e+02
  4.2539e-03   4.2581e-03  -5.4593e+00  -2.6800e-04   2.9881e-02   1.1140e+03   1.1229e+03   1.1186e+03   1.1140e+03
  4.7002e-03   4.7120e-03  -5.3580e+00   1.4929e-02   2.7182e-02   1.3600e+03   1.3570e+03   1.3484e+03   1.3600e+03
  5.1934e-03   5.2115e-03  -5.2573e+00   3.3997e-02   2.4732e-02   1.6820e+03   1.6391e+03   1.6327e+03   1.6820e+03
  5.7383e-03   5.7485e-03  -5.1592e+00   3.7715e-02   2.2504e-02   2.0410e+03   1.9796e+03   1.9730e+03   2.0410e+03
  6.3404e-03   6.3485e-03  -5.0600e+00   3.1756e-02   2.0477e-02   2.4630e+03   2.3910e+03   2.3891e+03   2.4630e+03
  7.0057e-03   7.0235e-03  -4.9589e+00   1.4295e-02   1.8635e-02   2.9030e+03   2.8870e+03   2.8743e+03   2.9030e+03
  7.7407e-03   7.7562e-03  -4.8597e+00   1.2047e-02   1.6962e-02   3.5030e+03   3.4846e+03   3.4728e+03   3.5030e+03
  8.5529e-03   8.5670e-03  -4.7603e+00   1.4163e-02   1.5447e-02   4.2350e+03   4.2018e+03   4.1886e+03   4.2350e+03
  9.4504e-03   9.4682e-03  -4.6602e+00   8.4292e-03   1.4071e-02   5.0870e+03   5.0634e+03   5.0539e+03   5.0870e+03
  1.0442e-02   1.0460e-02  -4.5606e+00   2.3192e-02   1.2824e-02   6.2310e+03   6.0961e+03   6.0928e+03   6.2310e+03
  1.1538e-02   1.1560e-02  -4.4606e+00  -1.0612e-02   1.1693e-02   7.2520e+03   7.3329e+03   7.3314e+03   7.2520e+03
  1.2748e-02   1.2770e-02  -4.3611e+00   1.0197e-02   1.0667e-02   8.9220e+03   8.8119e+03   8.8220e+03   8.9220e+03
  1.4086e-02   1.4114e-02  -4.2610e+00   2.5044e-02   9.7365e-03   1.0891e+04   1.0576e+04   1.0601e+04   1.0891e+04
  1.5564e-02   1.5591e-02  -4.1615e+00   1.0606e-02   8.8935e-03   1.2824e+04   1.2676e+04   1.2683e+04   1.2824e+04
  1.7197e-02   1.7235e-02  -4.0612e+00   4.9792e-03   8.1298e-03   1.5267e+04   1.5169e+04   1.5180e+04   1.5267e+04
  1.9001e-02   1.9028e-02  -3.9623e+00   2.9934e-02   7.4364e-03   1.8645e+04   1.8130e+04   1.8116e+04   1.8645e+04
  2.0995e-02   2.1033e-02  -3.8621e+00   1.1744e-02   6.8011e-03   2.1901e+04   2.1675e+04   2.1661e+04   2.1901e+04
  2.3198e-02   2.3241e-02  -3.7623e+00   2.6073e-03   6.2150e-03   2.6006e+04   2.5956e+04   2.5947e+04   2.6006e+04
  2.5632e-02   2.5672e-02  -3.6628e+00   1.4571e-02   5.6714e-03   3.1505e+04   3.1170e+04   3.1110e+04   3.1505e+04
  2.8321e-02   2.8367e-02  -3.5629e+00   6.6781e-03   5.1736e-03   3.7429e+04   3.7457e+04   3.7318e+04   3.7429e+04
  3.1293e-02   3.1339e-02  -3.4633e+00   1.0281e-02   4.7172e-03   4.5122e+04   4.5056e+04   4.4858e+04   4.5122e+04
  3.4576e-02   3.4647e-02  -3.3630e+00   1.3527e-02   4.3007e-03   5.4588e+04   5.4204e+04   5.4029e+04   5.4588e+04
  3.8204e-02   3.8287e-02  -3.2631e+00   8.2262e-03   3.9224e-03   6.5519e+04   6.5165e+04   6.5074e+04   6.5519e+04
  4.2212e-02   4.2290e-02  -3.1636e+00   4.2822e-03   3.5778e-03   7.8272e+04   7.8323e+04   7.8130e+04   7.8272e+04
  4.6642e-02   4.6731e-02  -3.0638e+00   1.5913e-03   3.2644e-03   9.3740e+04   9.4081e+04   9.3836e+04   9.3740e+04
  5.1535e-02   5.1629e-02  -2.9641e+00   1.3512e-02   2.9800e-03   1.1395e+05   1.1289e+05   1.1266e+05   1.1395e+05
  5.6943e-02   5.7048e-02  -2.8643e+00   7.8697e-03   2.7217e-03   1.3582e+05   1.3534e+05   1.3504e+05   1.3582e+05
  6.2917e-02   6.3041e-02  -2.7644e+00   6.1664e-03   2.4872e-03   1.6207e+05   1.6206e+05   1.6157e+05   1.6207e+05
  6.9519e-02   6.9644e-02  -2.6648e+00   3.3660e-03   2.2721e-03   1.9362e+05   1.9421e+05   1.9359e+05   1.9362e+05
  7.6813e-02   7.6978e-02  -2.5647e+00   3.1732e-03   2.0756e-03   2.3228e+05   2.3272e+05   2.3213e+05   2.3228e+05
  8.4873e-02   8.5025e-02  -2.4652e+00   1.6320e-03   1.8972e-03   2.7806e+05   2.7855e+05   2.7808e+05   2.7806e+05
  9.3778e-02   9.3953e-02  -2.3654e+00   2.8519e-03   1.7373e-03   3.3113e+05   3.3218e+05   3.3118e+05   3.3113e+05
  1.0362e-01   1.0381e-01  -2.2656e+00   9.6202e-03   1.5915e-03   3.9800e+05   3.9582e+05   3.9501e+05   3.9800e+05
  1.1449e-01   1.1473e-01  -2.1656e+00   5.9814e-03   1.4590e-03   4.7286e+05   4.7097e+05   4.7051e+05   4.7286e+05
  1.2650e-01   1.2676e-01  -2.0659e+00   2.5870e-03   1.3369e-03   5.6233e+05   5.6097e+05   5.6093e+05   5.6233e+05
  1.3978e-01   1.4003e-01  -1.9663e+00   9.1182e-03   1.2246e-03   6.7140e+05   6.6852e+05   6.6691e+05   6.7140e+05
  1.5444e-01   1.5477e-01  -1.8662e+00  -3.6697e-04   1.1131e-03   8.0637e+05   8.0916e+05   8.0792e+05   8.0637e+05
  1.7065e-01   1.7101e-01  -1.7664e+00   5.4563e-03   9.9960e-04   1.0006e+06   1.0034e+06   9.9923e+05   1.0006e+06
  1.8855e-01   1.8891e-01  -1.6669e+00   6.3146e-04   9.1043e-04   1.2039e+06   1.2096e+06   1.2064e+06   1.2039e+06
  2.0834e-01   2.0869e-01  -1.5673e+00   3.3884e-03   8.4128e-04   1.4093e+06   1.4166e+06   1.4105e+06   1.4093e+06
  2.3020e-01   2.3061e-01  -1.4675e+00   2.2223e-03   7.7732e-04   1.6511e+06   1.6593e+06   1.6533e+06   1.6511e+06
  2.5435e-01   2.5473e-01  -1.3680e+00   1.0790e-03   7.1964e-04   1.9202e+06   1.9359e+06   1.9270e+06   1.9202e+06
  2.8104e-01   2.8145e-01  -1.2682e+00   6.1935e-03   6.6998e-04   2.2284e+06   2.2335e+06   2.2240e+06   2.2284e+06
  3.1052e-01   3.1113e-01  -1.1680e+00   1.1209e-03   6.2014e-04   2.5837e+06   2.6070e+06   2.5939e+06   2.5837e+06
  3.4311e-01   3.4360e-01  -1.0687e+00  -1.4119e-03   5.6824e-04   3.0814e+06   3.1049e+06   3.0953e+06   3.0814e+06
  3.7911e-01   3.7968e-01  -9.6885e-01   4.6899e-03   5.2560e-04   3.6099e+06   3.6292e+06   3.6111e+06   3.6099e+06
  4.1888e-01   4.1953e-01  -8.6902e-01  -2.4203e-03   4.9198e-04   4.0987e+06   4.1421e+06   4.1254e+06   4.0987e+06
  4.6284e-01   4.6353e-01  -7.6931e-01   2.4034e-04   4.6141e-04   4.6495e+06   4.7091e+06   4.6787e+06   4.6495e+06
  5.1140e-01   5.1213e-01  -6.6960e-01  -6.9946e-04   4.2676e-04   5.4386e+06   5.5049e+06   5.4737e+06   5.4386e+06
  5.6506e-01   5.6596e-01  -5.6964e-01   2.0869e-03   3.9670e-04   6.2672e+06   6.3707e+06   6.3123e+06   6.2672e+06
  6.2435e-01   6.2535e-01  -4.6986e-01  -6.8432e-04   3.6991e-04   7.1854e+06   7.3271e+06   7.2587e+06   7.1854e+06
  6.8986e-01   6.9082e-01  -3.7030e-01   6.1135e-04   3.4354e-04   8.3255e+06   8.4952e+06   8.4077e+06   8.3255e+06
  7.6224e-01   7.6331e-01  -2.7051e-01  -3.0645e-03   3.2194e-04   9.4755e+06   9.6733e+06   9.5893e+06   9.4755e+06
  8.4222e-01   8.4322e-01  -1.7094e-01  -3.3792e-04   3.0318e-04   1.0702e+07   1.0907e+07   1.0806e+07   1.0702e+07
  9.3059e-01   9.3159e-01  -7.1273e-02  -1.4132e-03   2.9120e-04   1.1603e+07   1.1823e+07   1.1721e+07   1.1603e+07
  1.0282e+00   1.0285e+00   2.7699e-02  -1.2664e-03   2.8489e-04   1.2254e+07   1.2353e+07   1.2311e+07   1.2254e+07
  1.1361e+00   1.1364e+00   1.2746e-01  -1.5314e-03   2.8896e-04   1.2012e+07   1.2007e+07   1.2019e+07   1.2012e+07
  1.2553e+00   1.2550e+00   2.2669e-01  -3.7955e-04   3.0233e-04   1.1182e+07   1.0969e+07   1.1078e+07   1.1182e+07
  1.3870e+00   1.3844e+00   3.2484e-01  -4.6489e-04   3.2787e-04   9.6791e+06   9.3262e+06   9.5048e+06   9.6791e+06
  1.5326e+00   1.5276e+00   4.2332e-01   4.4512e-05   3.8986e-04   7.0433e+06   6.5963e+06   6.8197e+06   7.0433e+06
  1.6934e+00   1.6822e+00   5.1971e-01   1.9524e-03   5.4174e-04   3.6750e+06   3.4162e+06   3.5422e+06   3.6750e+06
