## {'min_sep': 0.003, 'max_sep': 1.78, 'bin_size': 0.1, 'sep_units': 'deg', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 31466244.5}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR           DR         npairs   
  3.1535e-03   3.1581e-03  -5.7582e+00   1.9279e-01   8.6304e-02   1.5900e+02   1.3442e+02   1.3375e+02   1.5900e+02
  3.4843e-03   3.4839e-03  -5.6600e+00  -3.3054e-02   7.8426e-02   1.5700e+02   1.6278e+02   1.6258e+02   1.5700e+02
  3.8499e-03   3.8595e-03  -5.5576e+00   5.6655e-02   7.1303e-02   2.0800e+02   1.9692e+02   1.9688e+02   2.0800e+02
  4.2539e-03   4.2724e-03  -5.4560e+00   6.6929e-02   6.4838e-02   2.5300e+02   2.3815e+02   2.3761e+02   2.5300e+02
  4.7002e-03   4.7004e-03  -5.3605e+00  -4.6357e-02   5.8981e-02   2.7200e+02   2.8780e+02   2.8657e+02   2.7200e+02
  5.1934e-03   5.2052e-03  -5.2585e+00  -2.4316e-02   5.3665e-02   3.3900e+02   3.4764e+02   3.4755e+02   3.3900e+02
  5.7383e-03   5.7432e-03  -5.1601e+00   2.1915e-02   4.8834e-02   4.3000e+02   4.1982e+02   4.2031e+02   4.3000e+02
  6.3404e-03   6.3461e-03  -5.0603e+00   8.7714e-02   4.4434e-02   5.5000e+02   5.0709e+02   5.0631e+02   5.5000e+02
  7.0057e-03   7.0248e-03  -4.9587e+00   1.4023e-03   4.0436e-02   6.1200e+02   6.1232e+02   6.1173e+02   6.1200e+02
  7.7407e-03   7.7501e-03  -4.8605e+00   6.1684e-02   3.6807e-02   7.8400e+02   7.3902e+02   7.3872e+02   7.8400e+02
  8.5529e-03   8.5750e-03  -4.7593e+00   3.0598e-02   3.3519e-02   9.1800e+02   8.9110e+02   8.9092e+02   9.1800e+02
  9.4504e-03   9.4692e-03  -4.6601e+00   3.8619e-02   3.0534e-02   1.1120e+03   1.0739e+03   1.0722e+03   1.1120e+03
  1.0442e-02   1.0476e-02  -4.5591e+00   6.4062e-02   2.7829e-02   1.3750e+03   1.2928e+03   1.2925e+03   1.3750e+03
  1.1538e-02   1.1567e-02  -4.4600e+00   3.4687e-02   2.5373e-02   1.6050e+03   1.5552e+03   1.5531e+03   1.6050e+03
  1.2748e-02   1.2750e-02  -4.3627e+00   4.6500e-02   2.3145e-02   1.9440e+03   1.8689e+03   1.8630e+03   1.9440e+03
  1.4086e-02   1.4112e-02  -4.2612e+00   7.9678e-02   2.1127e-02   2.4110e+03   2.2430e+03   2.2376e+03   2.4110e+03
  1.5564e-02   1.5588e-02  -4.1617e+00   2.5550e-02   1.9300e-02   2.7520e+03   2.6879e+03   2.6856e+03   2.7520e+03
  1.7197e-02   1.7231e-02  -4.0615e+00   3.1812e-02   1.7640e-02   3.3080e+03   3.2176e+03   3.2116e+03   3.3080e+03
  1.9001e-02   1.9024e-02  -3.9625e+00   1.3789e-03   1.6136e-02   3.8350e+03   3.8452e+03   3.8374e+03   3.8350e+03
  2.0995e-02   2.1055e-02  -3.8610e+00   2.8728e-02   1.4759e-02   4.6960e+03   4.5963e+03   4.5801e+03   4.6960e+03
  2.3198e-02   2.3245e-02  -3.7621e+00   8.2934e-03   1.3486e-02   5.5090e+03   5.5052e+03   5.4843e+03   5.5090e+03
  2.5632e-02   2.5659e-02  -3.6633e+00   6.8343e-03   1.2307e-02   6.6100e+03   6.6102e+03   6.5875e+03   6.6100e+03
  2.8321e-02   2.8378e-02  -3.5626e+00   2.4909e-02   1.1226e-02   8.0740e+03   7.9441e+03   7.9101e+03   8.0740e+03
  3.1293e-02   3.1354e-02  -3.4628e+00   1.8839e-02   1.0236e-02   9.6550e+03   9.5556e+03   9.5153e+03   9.6550e+03
  3.4576e-02   3.4643e-02  -3.3631e+00   2.8969e-02   9.3322e-03   1.1714e+04   1.1496e+04   1.1438e+04   1.1714e+04
  3.8204e-02   3.8293e-02  -3.2629e+00   2.2698e-02   8.5106e-03   1.3989e+04   1.3823e+04   1.3749e+04   1.3989e+04
  4.2212e-02   4.2293e-02  -3.1636e+00   1.4173e-02   7.7642e-03   1.6667e+04   1.6608e+04   1.6520e+04   1.6667e+04
  4.6642e-02   4.6741e-02  -3.0635e+00   1.3781e-02   7.0833e-03   1.9875e+04   1.9955e+04   1.9777e+04   1.9875e+04
  5.1535e-02   5.1631e-02  -2.9640e+00   1.1584e-02   6.4668e-03   2.3874e+04   2.3941e+04   2.3769e+04   2.3874e+04
  5.6943e-02   5.7050e-02  -2.8642e+00   1.5138e-02   5.9063e-03   2.8806e+04   2.8701e+04   2.8536e+04   2.8806e+04
  6.2917e-02   6.3072e-02  -2.7639e+00   1.4684e-02   5.3965e-03   3.4558e+04   3.4378e+04   3.4216e+04   3.4558e+04
  6.9519e-02   6.9651e-02  -2.6647e+00   2.3043e-02   4.9310e-03   4.2026e+04   4.1177e+04   4.1127e+04   4.2026e+04
  7.6813e-02   7.6973e-02  -2.5647e+00   9.7545e-03   4.5035e-03   5.0184e+04   4.9365e+04   4.9534e+04   5.0184e+04
  8.4873e-02   8.5020e-02  -2.4653e+00   5.6578e-03   4.1170e-03   6.0003e+04   5.9067e+04   5.9368e+04   6.0003e+04
  9.3778e-02   9.3929e-02  -2.3656e+00   1.6401e-02   3.7697e-03   7.2140e+04   7.0452e+04   7.0718e+04   7.2140e+04
  1.0362e-01   1.0381e-01  -2.2656e+00   9.5732e-03   3.4533e-03   8.5262e+04   8.3956e+04   8.4207e+04   8.5262e+04
  1.1449e-01   1.1471e-01  -2.1658e+00   9.2981e-03   3.1657e-03   1.0134e+05   9.9903e+04   1.0015e+05   1.0134e+05
  1.2650e-01   1.2677e-01  -2.0658e+00   1.1705e-02   2.9008e-03   1.2136e+05   1.1898e+05   1.1947e+05   1.2136e+05
  1.3978e-01   1.4004e-01  -1.9662e+00   8.2819e-03   2.6575e-03   1.4318e+05   1.4177e+05   1.4189e+05   1.4318e+05
  1.5444e-01   1.5477e-01  -1.8662e+00   5.2638e-03   2.4147e-03   1.7306e+05   1.7171e+05   1.7193e+05   1.7306e+05
  1.7065e-01   1.7103e-01  -1.7663e+00   1.4139e-02   2.1698e-03   2.1674e+05   2.1265e+05   2.1319e+05   2.1674e+05
