## {'min_sep': 0.003, 'max_sep': 1.78, 'bin_size': 0.1, 'sep_units': 'deg', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 27476284.5}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR           DR         npairs   
  3.1535e-03   3.1381e-03  -5.7646e+00   2.8933e-01   9.2346e-02   1.5100e+02   1.1739e+02   1.1721e+02   1.5100e+02
  3.4843e-03   3.4913e-03  -5.6578e+00   3.1316e-01   8.3928e-02   1.8600e+02   1.4212e+02   1.4181e+02   1.8600e+02
  3.8499e-03   3.8555e-03  -5.5587e+00   1.1838e-01   7.6304e-02   1.9200e+02   1.7194e+02   1.7179e+02   1.9200e+02
  4.2539e-03   4.2538e-03  -5.4603e+00   1.4160e-01   6.9384e-02   2.3800e+02   2.0795e+02   2.0825e+02   2.3800e+02
  4.7002e-03   4.6939e-03  -5.3619e+00   1.4270e-01   6.3118e-02   2.8700e+02   2.5129e+02   2.5122e+02   2.8700e+02
  5.1934e-03   5.1987e-03  -5.2597e+00   1.7734e-01   5.7425e-02   3.5700e+02   3.0358e+02   3.0337e+02   3.5700e+02
  5.7383e-03   5.7566e-03  -5.1578e+00   1.5509e-01   5.2257e-02   4.2300e+02   3.6660e+02   3.6637e+02   4.2300e+02
  6.3404e-03   6.3611e-03  -5.0580e+00   5.3227e-02   4.7551e-02   4.6500e+02   4.4276e+02   4.4210e+02   4.6500e+02
  7.0057e-03   7.0226e-03  -4.9590e+00   1.3011e-01   4.3271e-02   6.0400e+02   5.3467e+02   5.3455e+02   6.0400e+02
  7.7407e-03   7.7526e-03  -4.8602e+00   1.6981e-01   3.9387e-02   7.5400e+02   6.4531e+02   6.4486e+02   7.5400e+02
  8.5529e-03   8.5665e-03  -4.7603e+00   9.8377e-02   3.5869e-02   8.5500e+02   7.7813e+02   7.7829e+02   8.5500e+02
  9.4504e-03   9.4675e-03  -4.6603e+00   9.7676e-02   3.2675e-02   1.0300e+03   9.3765e+02   9.3803e+02   1.0300e+03
  1.0442e-02   1.0466e-02  -4.5600e+00   9.5250e-02   2.9778e-02   1.2390e+03   1.1290e+03   1.1302e+03   1.2390e+03
  1.1538e-02   1.1550e-02  -4.4615e+00   1.2471e-01   2.7151e-02   1.5340e+03   1.3581e+03   1.3613e+03   1.5340e+03
  1.2748e-02   1.2770e-02  -4.3610e+00   9.0412e-02   2.4770e-02   1.7810e+03   1.6317e+03   1.6326e+03   1.7810e+03
  1.4086e-02   1.4111e-02  -4.2612e+00   6.4555e-02   2.2608e-02   2.0910e+03   1.9586e+03   1.9616e+03   2.0910e+03
  1.5564e-02   1.5591e-02  -4.1614e+00   3.6309e-02   2.0651e-02   2.4400e+03   2.3474e+03   2.3511e+03   2.4400e+03
  1.7197e-02   1.7240e-02  -4.0610e+00   5.3987e-02   1.8877e-02   2.9650e+03   2.8094e+03   2.8114e+03   2.9650e+03
  1.9001e-02   1.9040e-02  -3.9616e+00   8.3448e-02   1.7268e-02   3.6470e+03   3.3575e+03   3.3621e+03   3.6470e+03
  2.0995e-02   2.1034e-02  -3.8620e+00   3.6952e-02   1.5793e-02   4.1580e+03   4.0136e+03   4.0116e+03   4.1580e+03
  2.3198e-02   2.3226e-02  -3.7629e+00   7.2192e-02   1.4431e-02   5.1450e+03   4.8073e+03   4.8026e+03   5.1450e+03
  2.5632e-02   2.5675e-02  -3.6626e+00   4.7829e-02   1.3170e-02   6.0670e+03   5.7715e+03   5.7812e+03   6.0670e+03
  2.8321e-02   2.8374e-02  -3.5627e+00   4.7673e-02   1.2013e-02   7.3040e+03   6.9373e+03   6.9553e+03   7.3040e+03
  3.1293e-02   3.1372e-02  -3.4622e+00   3.2232e-02   1.0954e-02   8.6600e+03   8.3435e+03   8.3673e+03   8.6600e+03
  3.4576e-02   3.4643e-02  -3.3631e+00   4.8596e-02   9.9867e-03   1.0601e+04   1.0038e+04   1.0075e+04   1.0601e+04
  3.8204e-02   3.8304e-02  -3.2626e+00   4.9808e-02   9.1077e-03   1.2756e+04   1.2069e+04   1.2112e+04   1.2756e+04
