## {'min_sep': 0.003, 'max_sep': 1.78, 'bin_size': 0.1, 'sep_units': 'deg', 'var_method': 'bootstrap', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 3377400.5}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR           DR         npairs   
  1.8855e-01   1.8890e-01  -1.6670e+00   1.5576e-02   1.1236e-01   4.0224e+04   3.6813e+04   3.8232e+04   4.0224e+04
  2.0834e-01   2.0869e-01  -1.5673e+00   1.9232e-02   1.1082e-01   4.7958e+04   4.3637e+04   4.5378e+04   4.7958e+04
  2.3020e-01   2.3061e-01  -1.4674e+00   4.3356e-03   1.0131e-01   5.6001e+04   5.1712e+04   5.3744e+04   5.6001e+04
  2.5435e-01   2.5481e-01  -1.3676e+00   3.3655e-03   9.5468e-02   6.5915e+04   6.0809e+04   6.3260e+04   6.5915e+04
  2.8104e-01   2.8156e-01  -1.2678e+00  -2.4431e-03   8.9304e-02   7.7285e+04   7.1923e+04   7.4692e+04   7.7285e+04
  3.1052e-01   3.1117e-01  -1.1678e+00   1.4341e-02   8.4188e-02   9.4283e+04   8.6479e+04   8.9761e+04   9.4283e+04
  3.4311e-01   3.4364e-01  -1.0686e+00   5.8577e-03   8.0607e-02   1.1010e+05   1.0285e+05   1.0617e+05   1.1010e+05
  3.7911e-01   3.7976e-01  -9.6862e-01   6.1162e-03   7.9120e-02   1.2883e+05   1.1941e+05   1.2376e+05   1.2883e+05
  4.1888e-01   4.1952e-01  -8.6905e-01   7.4496e-03   7.4949e-02   1.5016e+05   1.3748e+05   1.4331e+05   1.5016e+05
  4.6284e-01   4.6355e-01  -7.6927e-01  -3.4122e-03   6.7813e-02   1.7306e+05   1.5933e+05   1.6647e+05   1.7306e+05
  5.1140e-01   5.1204e-01  -6.6976e-01  -1.8698e-03   7.0226e-02   2.0004e+05   1.8372e+05   1.9205e+05   2.0004e+05
  5.6506e-01   5.6566e-01  -5.7018e-01  -1.0791e-03   7.0780e-02   2.2341e+05   2.0726e+05   2.1545e+05   2.2341e+05
  6.2435e-01   6.2488e-01  -4.7062e-01  -1.3989e-02   6.6753e-02   2.4153e+05   2.2969e+05   2.3722e+05   2.4153e+05
  6.8986e-01   6.9032e-01  -3.7101e-01  -1.4439e-02   6.7415e-02   2.5665e+05   2.4960e+05   2.5493e+05   2.5665e+05
  7.6224e-01   7.6267e-01  -2.7134e-01  -1.2722e-02   6.8164e-02   2.6267e+05   2.6358e+05   2.6480e+05   2.6267e+05
  8.4222e-01   8.4227e-01  -1.7207e-01  -9.8545e-03   6.3469e-02   2.6029e+05   2.7116e+05   2.6706e+05   2.6029e+05
  9.3059e-01   9.3037e-01  -7.2581e-02  -3.6296e-03   6.8274e-02   2.4272e+05   2.6364e+05   2.5366e+05   2.4272e+05
  1.0282e+00   1.0270e+00   2.6219e-02  -6.6352e-03   6.3749e-02   2.1066e+05   2.4052e+05   2.2639e+05   2.1066e+05
  1.1361e+00   1.1333e+00   1.2468e-01   7.9460e-04   6.9223e-02   1.6261e+05   1.9725e+05   1.7985e+05   1.6261e+05
  1.2553e+00   1.2508e+00   2.2339e-01   4.3349e-03   7.9695e-02   1.0630e+05   1.3132e+05   1.1852e+05   1.0630e+05
  1.3870e+00   1.3752e+00   3.1821e-01   6.1277e-03   1.4071e-01   5.3017e+04   6.8624e+04   6.0610e+04   5.3017e+04
  1.5326e+00   1.5135e+00   4.1406e-01   2.0444e-02   3.0441e-01   1.2939e+04   1.7977e+04   1.5274e+04   1.2939e+04
  1.6934e+00   1.6529e+00   5.0231e-01   3.6478e-02   2.1819e+02   1.5390e+03   2.4089e+03   1.9300e+03   1.5390e+03
