## {'min_sep': 0.003, 'max_sep': 1.78, 'bin_size': 0.1, 'sep_units': 'deg', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 85438592.0}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR           DR         npairs   
  3.1535e-03   3.1551e-03  -5.7591e+00   4.7500e-03   5.2395e-02   3.6500e+02   3.6497e+02   3.6412e+02   3.6500e+02
  3.4843e-03   3.4919e-03  -5.6577e+00  -4.1905e-03   4.7614e-02   4.3500e+02   4.4196e+02   4.3941e+02   4.3500e+02
  3.8499e-03   3.8552e-03  -5.5588e+00   6.2892e-02   4.3289e-02   5.6500e+02   5.3467e+02   5.3302e+02   5.6500e+02
  4.2539e-03   4.2597e-03  -5.4590e+00   7.8168e-02   3.9363e-02   6.9000e+02   6.4665e+02   6.4305e+02   6.9000e+02
  4.7002e-03   4.7152e-03  -5.3574e+00   1.6210e-02   3.5808e-02   7.8900e+02   7.8144e+02   7.7889e+02   7.8900e+02
  5.1934e-03   5.2019e-03  -5.2591e+00   4.2110e-02   3.2580e-02   9.7700e+02   9.4395e+02   9.4060e+02   9.7700e+02
  5.7383e-03   5.7571e-03  -5.1577e+00   1.6066e-02   2.9647e-02   1.1510e+03   1.1400e+03   1.1363e+03   1.1510e+03
  6.3404e-03   6.3561e-03  -5.0587e+00   4.7290e-02   2.6976e-02   1.4390e+03   1.3768e+03   1.3754e+03   1.4390e+03
  7.0057e-03   7.0183e-03  -4.9596e+00   1.5331e-02   2.4549e-02   1.6750e+03   1.6626e+03   1.6561e+03   1.6750e+03
  7.7407e-03   7.7540e-03  -4.8600e+00   3.9304e-02   2.2346e-02   2.0710e+03   2.0065e+03   1.9993e+03   2.0710e+03
  8.5529e-03   8.5760e-03  -4.7592e+00   6.6377e-03   2.0350e-02   2.4300e+03   2.4196e+03   2.4168e+03   2.4300e+03
  9.4504e-03   9.4746e-03  -4.6596e+00   4.0841e-02   1.8537e-02   3.0210e+03   2.9159e+03   2.9089e+03   3.0210e+03
  1.0442e-02   1.0457e-02  -4.5609e+00   1.4256e-02   1.6894e-02   3.5470e+03   3.5104e+03   3.5037e+03   3.5470e+03
  1.1538e-02   1.1567e-02  -4.4600e+00   1.9832e-02   1.5403e-02   4.3110e+03   4.2229e+03   4.2251e+03   4.3110e+03
  1.2748e-02   1.2778e-02  -4.3605e+00   2.5946e-02   1.4052e-02   5.1990e+03   5.0742e+03   5.0708e+03   5.1990e+03
  1.4086e-02   1.4111e-02  -4.2612e+00   3.4947e-02   1.2827e-02   6.2760e+03   6.0896e+03   6.0764e+03   6.2760e+03
  1.5564e-02   1.5596e-02  -4.1611e+00   2.1634e-02   1.1716e-02   7.4520e+03   7.2995e+03   7.2968e+03   7.4520e+03
  1.7197e-02   1.7221e-02  -4.0620e+00   1.8340e-02   1.0709e-02   8.8710e+03   8.7360e+03   8.7234e+03   8.8710e+03
  1.9001e-02   1.9042e-02  -3.9615e+00   8.7930e-03   9.7965e-03   1.0491e+04   1.0440e+04   1.0420e+04   1.0491e+04
  2.0995e-02   2.1036e-02  -3.8619e+00   3.4203e-02   8.9599e-03   1.2848e+04   1.2481e+04   1.2451e+04   1.2848e+04
  2.3198e-02   2.3237e-02  -3.7624e+00   7.9237e-03   8.1872e-03   1.5000e+04   1.4948e+04   1.4915e+04   1.5000e+04
  2.5632e-02   2.5678e-02  -3.6625e+00   2.4946e-02   7.4718e-03   1.8301e+04   1.7947e+04   1.7900e+04   1.8301e+04
  2.8321e-02   2.8379e-02  -3.5625e+00   5.5668e-03   6.8150e-03   2.1598e+04   2.1573e+04   2.1526e+04   2.1598e+04
  3.1293e-02   3.1351e-02  -3.4629e+00   1.5118e-02   6.2145e-03   2.6164e+04   2.5944e+04   2.5858e+04   2.6164e+04
  3.4576e-02   3.4646e-02  -3.3630e+00   1.5302e-02   5.6658e-03   3.1423e+04   3.1212e+04   3.1079e+04   3.1423e+04
  3.8204e-02   3.8278e-02  -3.2633e+00   1.1386e-02   5.1663e-03   3.7622e+04   3.7539e+04   3.7367e+04   3.7622e+04
  4.2212e-02   4.2300e-02  -3.1634e+00   1.3914e-02   4.7135e-03   4.5155e+04   4.5098e+04   4.4813e+04   4.5155e+04
