## {'min_sep': 0.003, 'max_sep': 1.78, 'bin_size': 0.1, 'sep_units': 'deg', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 12620288.0}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR           DR         npairs   
  3.1535e-03   3.1652e-03  -5.7560e+00   2.9720e-01   1.3624e-01   7.0000e+01   5.3918e+01   5.3947e+01   7.0000e+01
  3.4843e-03   3.4793e-03  -5.6613e+00   9.7516e-02   1.2382e-01   7.1000e+01   6.5279e+01   6.4956e+01   7.1000e+01
  3.8499e-03   3.8849e-03  -5.5511e+00  -1.9119e-03   1.1257e-01   7.9000e+01   7.8980e+01   7.9065e+01   7.9000e+01
  4.2539e-03   4.2713e-03  -5.4563e+00   1.2576e-01   1.0236e-01   1.0800e+02   9.5518e+01   9.5753e+01   1.0800e+02
  4.7002e-03   4.7141e-03  -5.3576e+00   6.3329e-02   9.3113e-02   1.2300e+02   1.1543e+02   1.1556e+02   1.2300e+02
  5.1934e-03   5.2325e-03  -5.2532e+00   5.7590e-02   8.4719e-02   1.4800e+02   1.3943e+02   1.3970e+02   1.4800e+02
  5.7383e-03   5.7544e-03  -5.1582e+00   2.6621e-01   7.7091e-02   2.1400e+02   1.6839e+02   1.6878e+02   2.1400e+02
  6.3404e-03   6.3501e-03  -5.0597e+00  -3.6803e-02   7.0149e-02   1.9800e+02   2.0337e+02   2.0443e+02   1.9800e+02
  7.0057e-03   6.9956e-03  -4.9629e+00   3.5264e-02   6.3836e-02   2.5500e+02   2.4558e+02   2.4596e+02   2.5500e+02
  7.7407e-03   7.7664e-03  -4.8583e+00   3.6686e-02   5.8106e-02   3.0700e+02   2.9641e+02   2.9627e+02   3.0700e+02
  8.5529e-03   8.5802e-03  -4.7587e+00  -1.2600e-02   5.2915e-02   3.5500e+02   3.5741e+02   3.5846e+02   3.5500e+02
  9.4504e-03   9.4612e-03  -4.6609e+00   1.9963e-01   4.8204e-02   5.1900e+02   4.3068e+02   4.3185e+02   5.1900e+02
  1.0442e-02   1.0487e-02  -4.5580e+00   4.8482e-02   4.3932e-02   5.4700e+02   5.1852e+02   5.2019e+02   5.4700e+02
  1.1538e-02   1.1554e-02  -4.4612e+00   6.3555e-02   4.0056e-02   6.6800e+02   6.2373e+02   6.2605e+02   6.6800e+02
  1.2748e-02   1.2772e-02  -4.3609e+00   1.5281e-01   3.6540e-02   8.6800e+02   7.4955e+02   7.5150e+02   8.6800e+02
  1.4086e-02   1.4104e-02  -4.2617e+00   7.8195e-02   3.3353e-02   9.7900e+02   8.9961e+02   9.0413e+02   9.7900e+02
  1.5564e-02   1.5589e-02  -4.1616e+00   6.2273e-02   3.0467e-02   1.1480e+03   1.0781e+03   1.0795e+03   1.1480e+03
  1.7197e-02   1.7213e-02  -4.0625e+00   9.5783e-02   2.7848e-02   1.4190e+03   1.2904e+03   1.2929e+03   1.4190e+03
  1.9001e-02   1.9049e-02  -3.9612e+00  -4.2385e-03   2.5474e-02   1.5440e+03   1.5422e+03   1.5463e+03   1.5440e+03
  2.0995e-02   2.1022e-02  -3.8626e+00   1.2807e-02   2.3299e-02   1.8740e+03   1.8436e+03   1.8470e+03   1.8740e+03
  2.3198e-02   2.3260e-02  -3.7615e+00  -2.1026e-03   2.1290e-02   2.2220e+03   2.2080e+03   2.2173e+03   2.2220e+03
  2.5632e-02   2.5672e-02  -3.6628e+00   2.8491e-02   1.9430e-02   2.7520e+03   2.6509e+03   2.6637e+03   2.7520e+03
  2.8321e-02   2.8375e-02  -3.5626e+00   3.4519e-02   1.7721e-02   3.3040e+03   3.1868e+03   3.1904e+03   3.3040e+03
  3.1293e-02   3.1340e-02  -3.4633e+00   2.5463e-03   1.6159e-02   3.8430e+03   3.8325e+03   3.8329e+03   3.8430e+03
  3.4576e-02   3.4622e-02  -3.3637e+00   1.5690e-02   1.4734e-02   4.6750e+03   4.6099e+03   4.6063e+03   4.6750e+03
  3.8204e-02   3.8263e-02  -3.2637e+00   2.5273e-02   1.3435e-02   5.6770e+03   5.5441e+03   5.5405e+03   5.6770e+03
  4.2212e-02   4.2262e-02  -3.1643e+00   5.3663e-02   1.2257e-02   7.0170e+03   6.6614e+03   6.6605e+03   7.0170e+03
  4.6642e-02   4.6742e-02  -3.0635e+00   1.1563e-02   1.1182e-02   8.0930e+03   8.0031e+03   8.0018e+03   8.0930e+03
  5.1535e-02   5.1657e-02  -2.9635e+00   2.1620e-02   1.0209e-02   9.9810e+03   9.6029e+03   9.6881e+03   9.9810e+03
  5.6943e-02   5.7069e-02  -2.8639e+00   1.3031e-02   9.3232e-03   1.1833e+04   1.1513e+04   1.1598e+04   1.1833e+04
  6.2917e-02   6.3052e-02  -2.7642e+00   3.7242e-02   8.5211e-03   1.4556e+04   1.3783e+04   1.3913e+04   1.4556e+04
  6.9519e-02   6.9668e-02  -2.6644e+00   1.2221e-02   7.7834e-03   1.6945e+04   1.6519e+04   1.6631e+04   1.6945e+04
  7.6813e-02   7.6953e-02  -2.5650e+00   3.3380e-02   7.1094e-03   2.0671e+04   1.9800e+04   1.9905e+04   2.0671e+04
  8.4873e-02   8.5078e-02  -2.4646e+00   1.1498e-02   6.4998e-03   2.3993e+04   2.3688e+04   2.3704e+04   2.3993e+04
