## {'min_sep': 0.003, 'max_sep': 1.78, 'bin_size': 0.1, 'sep_units': 'deg', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 10360352.0}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR           DR         npairs   
  3.1535e-03   3.1503e-03  -5.7607e+00   3.6587e-01   1.5037e-01   6.0000e+01   4.4259e+01   4.4033e+01   6.0000e+01
  3.4843e-03   3.4753e-03  -5.6624e+00   7.5994e-01   1.3664e-01   9.4000e+01   5.3594e+01   5.3433e+01   9.4000e+01
  3.8499e-03   3.8576e-03  -5.5582e+00   3.7663e-01   1.2423e-01   8.9000e+01   6.4835e+01   6.4708e+01   8.9000e+01
  4.2539e-03   4.2587e-03  -5.4592e+00   2.6413e-01   1.1297e-01   9.9000e+01   7.8412e+01   7.8351e+01   9.9000e+01
  4.7002e-03   4.7123e-03  -5.3580e+00   5.4115e-01   1.0277e-01   1.4500e+02   9.4755e+01   9.4239e+01   1.4500e+02
  5.1934e-03   5.1973e-03  -5.2601e+00   4.4331e-01   9.3499e-02   1.6400e+02   1.1447e+02   1.1386e+02   1.6400e+02
  5.7383e-03   5.7500e-03  -5.1589e+00   2.0310e-01   8.5083e-02   1.6500e+02   1.3823e+02   1.3758e+02   1.6500e+02
  6.3404e-03   6.3374e-03  -5.0617e+00   2.6434e-01   7.7419e-02   2.0900e+02   1.6696e+02   1.6591e+02   2.0900e+02
  7.0057e-03   7.0247e-03  -4.9588e+00   2.7402e-01   7.0451e-02   2.5400e+02   2.0161e+02   2.0018e+02   2.5400e+02
  7.7407e-03   7.7500e-03  -4.8605e+00   3.4358e-01   6.4133e-02   3.2400e+02   2.4330e+02   2.4185e+02   3.2400e+02
  8.5529e-03   8.5768e-03  -4.7591e+00   2.1856e-01   5.8396e-02   3.5400e+02   2.9344e+02   2.9165e+02   3.5400e+02
  9.4504e-03   9.4846e-03  -4.6585e+00   1.9856e-01   5.3201e-02   4.2100e+02   3.5355e+02   3.5217e+02   4.2100e+02
  1.0442e-02   1.0451e-02  -4.5614e+00   2.6191e-01   4.8486e-02   5.3200e+02   4.2567e+02   4.2309e+02   5.3200e+02
  1.1538e-02   1.1575e-02  -4.4593e+00   2.2486e-01   4.4206e-02   6.2200e+02   5.1208e+02   5.0947e+02   6.2200e+02
  1.2748e-02   1.2786e-02  -4.3598e+00   2.3285e-01   4.0328e-02   7.5300e+02   6.1531e+02   6.1252e+02   7.5300e+02
  1.4086e-02   1.4106e-02  -4.2616e+00   2.0089e-01   3.6811e-02   8.8300e+02   7.3847e+02   7.3656e+02   8.8300e+02
  1.5564e-02   1.5589e-02  -4.1616e+00   2.2413e-01   3.3624e-02   1.0790e+03   8.8512e+02   8.8287e+02   1.0790e+03
  1.7197e-02   1.7218e-02  -4.0622e+00   1.2698e-01   3.0736e-02   1.1880e+03   1.0592e+03   1.0564e+03   1.1880e+03
  1.9001e-02   1.9000e-02  -3.9637e+00   7.0301e-02   2.8115e-02   1.3540e+03   1.2660e+03   1.2655e+03   1.3540e+03
  2.0995e-02   2.1015e-02  -3.8629e+00   1.9267e-01   2.5714e-02   1.7990e+03   1.5135e+03   1.5104e+03   1.7990e+03
  2.3198e-02   2.3225e-02  -3.7629e+00   1.8409e-01   2.3496e-02   2.1450e+03   1.8126e+03   1.8119e+03   2.1450e+03
  2.5632e-02   2.5693e-02  -3.6619e+00   1.5020e-01   2.1443e-02   2.5110e+03   2.1763e+03   2.1802e+03   2.5110e+03
  2.8321e-02   2.8388e-02  -3.5622e+00   7.0948e-02   1.9559e-02   2.8260e+03   2.6159e+03   2.6281e+03   2.8260e+03
  3.1293e-02   3.1333e-02  -3.4635e+00   1.3747e-01   1.7834e-02   3.6080e+03   3.1464e+03   3.1609e+03   3.6080e+03
  3.4576e-02   3.4620e-02  -3.3638e+00   9.5569e-02   1.6260e-02   4.1800e+03   3.7848e+03   3.8016e+03   4.1800e+03
  3.8204e-02   3.8256e-02  -3.2639e+00   1.0709e-01   1.4829e-02   5.0870e+03   4.5507e+03   4.5752e+03   5.0870e+03
  4.2212e-02   4.2310e-02  -3.1631e+00   1.1740e-01   1.3528e-02   6.1610e+03   5.4684e+03   5.4937e+03   6.1610e+03
  4.6642e-02   4.6767e-02  -3.0630e+00   9.4448e-02   1.2341e-02   7.2740e+03   6.5702e+03   6.6118e+03   7.2740e+03
  5.1535e-02   5.1687e-02  -2.9630e+00   1.1680e-01   1.1268e-02   8.9180e+03   7.8819e+03   7.9397e+03   8.9180e+03
  5.6943e-02   5.7062e-02  -2.8640e+00   6.6298e-02   1.0290e-02   1.0215e+04   9.4513e+03   9.5198e+03   1.0215e+04
  6.2917e-02   6.3067e-02  -2.7640e+00   8.6207e-02   9.4030e-03   1.2350e+04   1.1318e+04   1.1346e+04   1.2350e+04
  6.9519e-02   6.9618e-02  -2.6651e+00   4.7520e-02   8.5901e-03   1.4241e+04   1.3561e+04   1.3579e+04   1.4241e+04
  7.6813e-02   7.6935e-02  -2.5652e+00   6.3814e-02   7.8474e-03   1.7264e+04   1.6250e+04   1.6238e+04   1.7264e+04
  8.4873e-02   8.5013e-02  -2.4654e+00   6.4167e-02   7.1741e-03   2.0573e+04   1.9443e+04   1.9384e+04   2.0573e+04
  9.3778e-02   9.3934e-02  -2.3656e+00   6.6499e-02   6.5667e-03   2.4574e+04   2.3206e+04   2.3119e+04   2.4574e+04
  1.0362e-01   1.0385e-01  -2.2652e+00   4.5807e-02   6.0173e-03   2.8925e+04   2.7637e+04   2.7648e+04   2.8925e+04
  1.1449e-01   1.1471e-01  -2.1657e+00   5.6651e-02   5.5157e-03   3.4866e+04   3.2892e+04   3.2947e+04   3.4866e+04
  1.2650e-01   1.2682e-01  -2.0654e+00   4.3020e-02   5.0541e-03   4.1768e+04   3.9175e+04   3.9629e+04   4.1768e+04
  1.3978e-01   1.4005e-01  -1.9662e+00   4.3292e-02   4.6309e-03   5.0175e+04   4.6662e+04   4.7408e+04   5.0175e+04
  1.5444e-01   1.5480e-01  -1.8660e+00   4.7208e-02   4.2070e-03   6.0765e+04   5.6539e+04   5.7317e+04   6.0765e+04
  1.7065e-01   1.7104e-01  -1.7663e+00   4.4500e-02   3.7797e-03   7.5108e+04   7.0046e+04   7.1018e+04   7.5108e+04
  1.8855e-01   1.8886e-01  -1.6672e+00   4.4343e-02   3.4424e-03   9.0751e+04   8.4444e+04   8.5725e+04   9.0751e+04
  2.0834e-01   2.0865e-01  -1.5675e+00   4.1348e-02   3.1796e-03   1.0596e+05   9.8978e+04   1.0043e+05   1.0596e+05
  2.3020e-01   2.3059e-01  -1.4675e+00   3.3226e-02   2.9391e-03   1.2311e+05   1.1584e+05   1.1755e+05   1.2311e+05
  2.5435e-01   2.5477e-01  -1.3678e+00   2.5864e-02   2.7216e-03   1.4064e+05   1.3509e+05   1.3612e+05   1.4064e+05
  2.8104e-01   2.8144e-01  -1.2682e+00   2.2680e-02   2.5329e-03   1.6168e+05   1.5598e+05   1.5706e+05   1.6168e+05
  3.1052e-01   3.1114e-01  -1.1679e+00   2.4074e-02   2.3441e-03   1.8897e+05   1.8211e+05   1.8335e+05   1.8897e+05
  3.4311e-01   3.4360e-01  -1.0687e+00   2.0913e-02   2.1471e-03   2.2334e+05   2.1706e+05   2.1793e+05   2.2334e+05
  3.7911e-01   3.7966e-01  -9.6889e-01   2.3874e-02   1.9876e-03   2.5755e+05   2.5329e+05   2.5240e+05   2.5755e+05
  4.1888e-01   4.1946e-01  -8.6920e-01   2.2304e-02   1.8594e-03   2.8800e+05   2.8943e+05   2.8549e+05   2.8800e+05
  4.6284e-01   4.6353e-01  -7.6930e-01   7.4091e-03   1.7455e-03   3.2273e+05   3.2845e+05   3.2437e+05   3.2273e+05
  5.1140e-01   5.1218e-01  -6.6950e-01   6.6796e-03   1.6123e-03   3.7840e+05   3.8493e+05   3.8038e+05   3.7840e+05
  5.6506e-01   5.6587e-01  -5.6980e-01   4.8417e-03   1.5007e-03   4.3531e+05   4.4436e+05   4.3876e+05   4.3531e+05
  6.2435e-01   6.2538e-01  -4.6981e-01   9.4502e-04   1.3991e-03   4.9634e+05   5.1123e+05   5.0355e+05   4.9634e+05
  6.8986e-01   6.9084e-01  -3.7026e-01  -1.9094e-03   1.2989e-03   5.7808e+05   5.9315e+05   5.8618e+05   5.7808e+05
  7.6224e-01   7.6331e-01  -2.7051e-01  -1.3492e-02   1.2166e-03   6.5484e+05   6.7610e+05   6.7003e+05   6.5484e+05
  8.4222e-01   8.4331e-01  -1.7083e-01  -1.6370e-02   1.1462e-03   7.4350e+05   7.6162e+05   7.5879e+05   7.4350e+05
  9.3059e-01   9.3142e-01  -7.1456e-02  -1.6636e-02   1.1009e-03   7.9996e+05   8.2564e+05   8.1967e+05   7.9996e+05
  1.0282e+00   1.0287e+00   2.7895e-02  -1.7380e-02   1.0772e-03   8.4023e+05   8.6239e+05   8.5880e+05   8.4023e+05
  1.1361e+00   1.1367e+00   1.2768e-01  -1.5137e-02   1.0922e-03   8.3008e+05   8.3880e+05   8.4079e+05   8.3008e+05
  1.2553e+00   1.2549e+00   2.2660e-01  -6.8761e-03   1.1430e-03   7.7255e+05   7.6600e+05   7.7191e+05   7.7255e+05
  1.3870e+00   1.3843e+00   3.2479e-01  -4.0850e-03   1.2401e-03   6.7043e+05   6.5068e+05   6.6188e+05   6.7043e+05
  1.5326e+00   1.5276e+00   4.2332e-01  -3.5344e-03   1.4736e-03   4.8978e+05   4.6082e+05   4.7611e+05   4.8978e+05
  1.6934e+00   1.6814e+00   5.1921e-01  -1.1088e-03   2.0486e-03   2.4697e+05   2.3844e+05   2.4284e+05   2.4697e+05
