## {'min_sep': 0.003, 'max_sep': 1.78, 'bin_size': 0.1, 'sep_units': 'deg', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 4923522.0}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR           DR         npairs   
  3.1535e-03   3.1545e-03  -5.7593e+00   6.2284e-01   2.1810e-01   3.4000e+01   2.1033e+01   2.0966e+01   3.4000e+01
  3.4843e-03   3.4966e-03  -5.6563e+00   8.1058e-01   1.9820e-01   4.6000e+01   2.5468e+01   2.5412e+01   4.6000e+01
  3.8499e-03   3.8520e-03  -5.5595e+00   7.9125e-01   1.8020e-01   5.5000e+01   3.0811e+01   3.0716e+01   5.5000e+01
  4.2539e-03   4.2689e-03  -5.4568e+00   2.3261e-01   1.6385e-01   4.6000e+01   3.7266e+01   3.7299e+01   4.6000e+01
  4.7002e-03   4.7104e-03  -5.3584e+00   4.2193e-01   1.4906e-01   6.4000e+01   4.5030e+01   4.5015e+01   6.4000e+01
  5.1934e-03   5.2097e-03  -5.2575e+00   5.7309e-01   1.3562e-01   8.6000e+01   5.4396e+01   5.4611e+01   8.6000e+01
  5.7383e-03   5.7327e-03  -5.1620e+00   6.7937e-01   1.2341e-01   1.1000e+02   6.5692e+01   6.5531e+01   1.1000e+02
  6.3404e-03   6.3509e-03  -5.0595e+00   5.4073e-01   1.1229e-01   1.2200e+02   7.9343e+01   7.9220e+01   1.2200e+02
  7.0057e-03   7.0008e-03  -4.9621e+00   3.7627e-01   1.0219e-01   1.3100e+02   9.5803e+01   9.5378e+01   1.3100e+02
  7.7407e-03   7.7668e-03  -4.8582e+00   1.2353e-01   9.3014e-02   1.3000e+02   1.1564e+02   1.1568e+02   1.3000e+02
  8.5529e-03   8.5664e-03  -4.7603e+00   3.0097e-01   8.4703e-02   1.8000e+02   1.3945e+02   1.3874e+02   1.8000e+02
  9.4504e-03   9.4502e-03  -4.6621e+00   2.2548e-01   7.7168e-02   2.0600e+02   1.6801e+02   1.6806e+02   2.0600e+02
  1.0442e-02   1.0454e-02  -4.5612e+00   1.7451e-01   7.0326e-02   2.3600e+02   2.0229e+02   2.0149e+02   2.3600e+02
  1.1538e-02   1.1553e-02  -4.4613e+00   2.4155e-01   6.4117e-02   3.0200e+02   2.4337e+02   2.4329e+02   3.0200e+02
  1.2748e-02   1.2795e-02  -4.3591e+00   2.1163e-01   5.8494e-02   3.5200e+02   2.9241e+02   2.9126e+02   3.5200e+02
  1.4086e-02   1.4116e-02  -4.2609e+00   2.3691e-01   5.3392e-02   4.3300e+02   3.5095e+02   3.5040e+02   4.3300e+02
  1.5564e-02   1.5616e-02  -4.1598e+00   1.7168e-01   4.8772e-02   4.9300e+02   4.2059e+02   4.2069e+02   4.9300e+02
  1.7197e-02   1.7239e-02  -4.0610e+00   6.9680e-02   4.4578e-02   5.4100e+02   5.0347e+02   5.0469e+02   5.4100e+02
  1.9001e-02   1.9015e-02  -3.9629e+00   1.4448e-01   4.0781e-02   6.9200e+02   6.0159e+02   6.0333e+02   6.9200e+02
  2.0995e-02   2.1004e-02  -3.8634e+00   2.0374e-01   3.7297e-02   8.6700e+02   7.1922e+02   7.1985e+02   8.6700e+02
  2.3198e-02   2.3256e-02  -3.7616e+00   1.5163e-01   3.4080e-02   9.9500e+02   8.6142e+02   8.6290e+02   9.9500e+02
  2.5632e-02   2.5686e-02  -3.6622e+00   8.6003e-02   3.1101e-02   1.1340e+03   1.0343e+03   1.0397e+03   1.1340e+03
  2.8321e-02   2.8339e-02  -3.5639e+00   1.1646e-01   2.8371e-02   1.3920e+03   1.2430e+03   1.2451e+03   1.3920e+03
  3.1293e-02   3.1396e-02  -3.4615e+00   8.9187e-02   2.5865e-02   1.6250e+03   1.4954e+03   1.4935e+03   1.6250e+03
  3.4576e-02   3.4631e-02  -3.3634e+00   1.4157e-01   2.3586e-02   2.0620e+03   1.7984e+03   1.8029e+03   2.0620e+03
  3.8204e-02   3.8263e-02  -3.2637e+00   5.8381e-02   2.1507e-02   2.2970e+03   2.1629e+03   2.1668e+03   2.2970e+03
  4.2212e-02   4.2258e-02  -3.1644e+00   5.6509e-02   1.9620e-02   2.7450e+03   2.5989e+03   2.5985e+03   2.7450e+03
  4.6642e-02   4.6707e-02  -3.0643e+00   4.7958e-02   1.7902e-02   3.2580e+03   3.1216e+03   3.1150e+03   3.2580e+03
  5.1535e-02   5.1590e-02  -2.9648e+00   8.4243e-02   1.6341e-02   4.0480e+03   3.7468e+03   3.7396e+03   4.0480e+03
