## {'min_sep': 0.003, 'max_sep': 1.78, 'bin_size': 0.1, 'sep_units': 'deg', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 15562620.5}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR           DR         npairs   
  3.1535e-03   3.1747e-03  -5.7529e+00   1.1583e-01   1.2270e-01   7.4000e+01   6.6481e+01   6.6390e+01   7.4000e+01
  3.4843e-03   3.5080e-03  -5.6531e+00   2.5274e-01   1.1150e-01   1.0000e+02   8.0506e+01   8.0080e+01   1.0000e+02
  3.8499e-03   3.8482e-03  -5.5605e+00   2.7925e-01   1.0137e-01   1.2400e+02   9.7394e+01   9.7098e+01   1.2400e+02
  4.2539e-03   4.2739e-03  -5.4556e+00   2.1026e-01   9.2182e-02   1.4200e+02   1.1778e+02   1.1751e+02   1.4200e+02
  4.7002e-03   4.7075e-03  -5.3590e+00   2.7436e-01   8.3854e-02   1.8000e+02   1.4233e+02   1.4164e+02   1.8000e+02
  5.1934e-03   5.2098e-03  -5.2576e+00   2.6445e-01   7.6294e-02   2.1500e+02   1.7194e+02   1.7074e+02   2.1500e+02
  5.7383e-03   5.7499e-03  -5.1590e+00   2.7361e-01   6.9425e-02   2.6300e+02   2.0765e+02   2.0692e+02   2.6300e+02
  6.3404e-03   6.3424e-03  -5.0609e+00   1.0103e-01   6.3171e-02   2.7300e+02   2.5080e+02   2.4923e+02   2.7300e+02
  7.0057e-03   7.0024e-03  -4.9619e+00   1.8174e-01   5.7488e-02   3.5600e+02   3.0283e+02   3.0190e+02   3.5600e+02
  7.7407e-03   7.7517e-03  -4.8602e+00   2.1318e-01   5.2330e-02   4.4000e+02   3.6548e+02   3.6378e+02   4.4000e+02
  8.5529e-03   8.5729e-03  -4.7595e+00   1.2907e-01   4.7652e-02   4.9300e+02   4.4076e+02   4.3843e+02   4.9300e+02
  9.4504e-03   9.4687e-03  -4.6602e+00   1.9140e-01   4.3409e-02   6.2700e+02   5.3113e+02   5.2824e+02   6.2700e+02
  1.0442e-02   1.0427e-02  -4.5637e+00   1.7650e-01   3.9563e-02   7.4500e+02   6.3942e+02   6.3578e+02   7.4500e+02
  1.1538e-02   1.1556e-02  -4.4610e+00   1.7472e-01   3.6072e-02   8.9200e+02   7.6915e+02   7.6338e+02   8.9200e+02
  1.2748e-02   1.2750e-02  -4.3626e+00   1.1665e-01   3.2905e-02   1.0210e+03   9.2433e+02   9.1875e+02   1.0210e+03
  1.4086e-02   1.4131e-02  -4.2598e+00   1.4028e-01   3.0038e-02   1.2540e+03   1.1092e+03   1.1038e+03   1.2540e+03
  1.5564e-02   1.5583e-02  -4.1620e+00   1.5725e-01   2.7436e-02   1.5250e+03   1.3296e+03   1.3228e+03   1.5250e+03
  1.7197e-02   1.7257e-02  -4.0599e+00   4.5806e-02   2.5080e-02   1.6550e+03   1.5911e+03   1.5866e+03   1.6550e+03
  1.9001e-02   1.9038e-02  -3.9617e+00   9.1829e-02   2.2940e-02   2.0690e+03   1.9018e+03   1.8981e+03   2.0690e+03
  2.0995e-02   2.1043e-02  -3.8616e+00   7.6977e-02   2.0982e-02   2.4420e+03   2.2734e+03   2.2702e+03   2.4420e+03
  2.3198e-02   2.3248e-02  -3.7619e+00   1.8208e-02   1.9172e-02   2.7820e+03   2.7229e+03   2.7277e+03   2.7820e+03
  2.5632e-02   2.5688e-02  -3.6622e+00   4.9719e-02   1.7497e-02   3.4400e+03   3.2690e+03   3.2732e+03   3.4400e+03
  2.8321e-02   2.8349e-02  -3.5636e+00   5.1873e-02   1.5960e-02   4.1620e+03   3.9291e+03   3.9436e+03   4.1620e+03
  3.1293e-02   3.1379e-02  -3.4620e+00   7.8870e-02   1.4553e-02   5.1390e+03   4.7257e+03   4.7460e+03   5.1390e+03
  3.4576e-02   3.4638e-02  -3.3632e+00   2.6388e-02   1.3267e-02   5.8590e+03   5.6861e+03   5.6975e+03   5.8590e+03
  3.8204e-02   3.8285e-02  -3.2631e+00   2.3104e-02   1.2101e-02   7.0470e+03   6.8350e+03   6.8621e+03   7.0470e+03
  4.2212e-02   4.2301e-02  -3.1634e+00   4.8030e-02   1.1037e-02   8.6980e+03   8.2154e+03   8.2594e+03   8.6980e+03
  4.6642e-02   4.6737e-02  -3.0636e+00   3.1307e-02   1.0071e-02   1.0275e+04   9.8677e+03   9.9169e+03   1.0275e+04
  5.1535e-02   5.1625e-02  -2.9642e+00   1.5557e-02   9.1928e-03   1.2101e+04   1.1843e+04   1.1880e+04   1.2101e+04
  5.6943e-02   5.7072e-02  -2.8639e+00   2.7171e-02   8.3967e-03   1.4706e+04   1.4195e+04   1.4258e+04   1.4706e+04
  6.2917e-02   6.3078e-02  -2.7638e+00   2.4552e-02   7.6733e-03   1.7492e+04   1.6998e+04   1.7036e+04   1.7492e+04
  6.9519e-02   6.9665e-02  -2.6645e+00   1.6344e-02   7.0099e-03   2.0922e+04   2.0368e+04   2.0478e+04   2.0922e+04
  7.6813e-02   7.6977e-02  -2.5647e+00   3.2705e-03   6.4024e-03   2.4764e+04   2.4416e+04   2.4550e+04   2.4764e+04
  8.4873e-02   8.5060e-02  -2.4648e+00   2.6196e-02   5.8534e-03   3.0238e+04   2.9211e+04   2.9342e+04   3.0238e+04
  9.3778e-02   9.3933e-02  -2.3656e+00   4.9737e-03   5.3597e-03   3.5309e+04   3.4840e+04   3.4988e+04   3.5309e+04
  1.0362e-01   1.0381e-01  -2.2656e+00   1.4614e-02   4.9092e-03   4.2660e+04   4.1527e+04   4.1790e+04   4.2660e+04
  1.1449e-01   1.1468e-01  -2.1660e+00   2.1903e-02   4.5010e-03   5.0620e+04   4.9401e+04   4.9469e+04   5.0620e+04
  1.2650e-01   1.2680e-01  -2.0656e+00   1.9429e-02   4.1240e-03   6.0278e+04   5.8846e+04   5.8990e+04   6.0278e+04
  1.3978e-01   1.4008e-01  -1.9660e+00   2.2004e-02   3.7775e-03   7.2256e+04   7.0138e+04   7.0425e+04   7.2256e+04
  1.5444e-01   1.5477e-01  -1.8662e+00   1.8989e-02   3.4339e-03   8.7228e+04   8.4878e+04   8.5247e+04   8.7228e+04
  1.7065e-01   1.7097e-01  -1.7667e+00   2.1881e-02   3.0843e-03   1.0777e+05   1.0521e+05   1.0534e+05   1.0777e+05
  1.8855e-01   1.8890e-01  -1.6670e+00   1.9014e-02   2.8089e-03   1.2990e+05   1.2685e+05   1.2717e+05   1.2990e+05
  2.0834e-01   2.0867e-01  -1.5674e+00   1.3768e-02   2.5951e-03   1.5128e+05   1.4862e+05   1.4892e+05   1.5128e+05
  2.3020e-01   2.3060e-01  -1.4675e+00   4.2727e-03   2.3973e-03   1.7602e+05   1.7415e+05   1.7471e+05   1.7602e+05
  2.5435e-01   2.5469e-01  -1.3681e+00   5.8994e-03   2.2207e-03   2.0519e+05   2.0295e+05   2.0347e+05   2.0519e+05
  2.8104e-01   2.8146e-01  -1.2682e+00   6.6965e-03   2.0670e-03   2.3727e+05   2.3426e+05   2.3498e+05   2.3727e+05
  3.1052e-01   3.1111e-01  -1.1680e+00   6.3052e-03   1.9134e-03   2.7552e+05   2.7338e+05   2.7359e+05   2.7552e+05
  3.4311e-01   3.4360e-01  -1.0687e+00  -4.0844e-03   1.7524e-03   3.2420e+05   3.2590e+05   3.2572e+05   3.2420e+05
  3.7911e-01   3.7971e-01  -9.6877e-01   4.4562e-03   1.6207e-03   3.7841e+05   3.8104e+05   3.7888e+05   3.7841e+05
  4.1888e-01   4.1948e-01  -8.6916e-01   2.8929e-04   1.5187e-03   4.2562e+05   4.3391e+05   4.2970e+05   4.2562e+05
  4.6284e-01   4.6352e-01  -7.6932e-01  -1.8701e-03   1.4231e-03   4.7632e+05   4.9418e+05   4.8571e+05   4.7632e+05
  5.1140e-01   5.1207e-01  -6.6970e-01  -6.1080e-03   1.3165e-03   5.4891e+05   5.7745e+05   5.6494e+05   5.4891e+05
  5.6506e-01   5.6593e-01  -5.6971e-01  -4.3508e-03   1.2245e-03   6.3103e+05   6.6754e+05   6.5074e+05   6.3103e+05
  6.2435e-01   6.2535e-01  -4.6986e-01  -3.5324e-03   1.1411e-03   7.2293e+05   7.6859e+05   7.4712e+05   7.2293e+05
  6.8986e-01   6.9085e-01  -3.7025e-01  -7.0677e-03   1.0598e-03   8.3892e+05   8.9106e+05   8.6814e+05   8.3892e+05
  7.6224e-01   7.6341e-01  -2.7037e-01  -9.1592e-03   9.9287e-04   9.6378e+05   1.0153e+06   9.9417e+05   9.6378e+05
  8.4222e-01   8.4328e-01  -1.7087e-01  -6.9672e-03   9.3536e-04   1.0999e+06   1.1440e+06   1.1259e+06   1.0999e+06
  9.3059e-01   9.3176e-01  -7.1092e-02  -2.7426e-03   8.9831e-04   1.2133e+06   1.2403e+06   1.2285e+06   1.2133e+06
  1.0282e+00   1.0287e+00   2.7893e-02  -2.3878e-04   8.7908e-04   1.2972e+06   1.2951e+06   1.2963e+06   1.2972e+06
  1.1361e+00   1.1366e+00   1.2764e-01   3.0509e-03   8.9099e-04   1.2914e+06   1.2607e+06   1.2741e+06   1.2914e+06
  1.2553e+00   1.2553e+00   2.2694e-01   5.2872e-03   9.3294e-04   1.2474e+06   1.1499e+06   1.1956e+06   1.2474e+06
  1.3870e+00   1.3838e+00   3.2445e-01   4.5063e-03   1.0114e-03   1.0648e+06   9.7839e+05   1.0194e+06   1.0648e+06
  1.5326e+00   1.5271e+00   4.2298e-01  -1.2630e-03   1.2030e-03   7.3824e+05   6.9161e+05   7.1536e+05   7.3824e+05
  1.6934e+00   1.6818e+00   5.1949e-01  -6.0413e-03   1.6712e-03   3.6916e+05   3.5836e+05   3.6484e+05   3.6916e+05
