## {'min_sep': 0.003, 'max_sep': 1.78, 'bin_size': 0.1, 'sep_units': 'deg', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 7636232.0}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR           DR         npairs   
  3.1535e-03   3.1635e-03  -5.7564e+00   3.2904e-01   1.7514e-01   4.3000e+01   3.2620e+01   3.2443e+01   4.3000e+01
  3.4843e-03   3.4856e-03  -5.6597e+00   8.4693e-02   1.5915e-01   4.3000e+01   3.9504e+01   3.9579e+01   4.3000e+01
  3.8499e-03   3.8723e-03  -5.5543e+00   2.0939e-01   1.4470e-01   5.7000e+01   4.7786e+01   4.7390e+01   5.7000e+01
  4.2539e-03   4.2676e-03  -5.4571e+00   1.4021e-01   1.3158e-01   6.6000e+01   5.7794e+01   5.7845e+01   6.6000e+01
  4.7002e-03   4.7049e-03  -5.3596e+00   1.6130e-01   1.1969e-01   8.1000e+01   6.9843e+01   6.9789e+01   8.1000e+01
  5.1934e-03   5.1947e-03  -5.2605e+00   5.9425e-02   1.0890e-01   8.9000e+01   8.4371e+01   8.4178e+01   8.9000e+01
  5.7383e-03   5.7450e-03  -5.1598e+00   1.4423e-01   9.9099e-02   1.1700e+02   1.0189e+02   1.0210e+02   1.1700e+02
  6.3404e-03   6.3422e-03  -5.0609e+00   1.7221e-01   9.0174e-02   1.4400e+02   1.2305e+02   1.2293e+02   1.4400e+02
  7.0057e-03   7.0435e-03  -4.9561e+00   2.7510e-01   8.2057e-02   1.8900e+02   1.4860e+02   1.4836e+02   1.8900e+02
  7.7407e-03   7.7849e-03  -4.8560e+00   3.0724e-03   7.4697e-02   1.8000e+02   1.7933e+02   1.7939e+02   1.8000e+02
  8.5529e-03   8.5691e-03  -4.7600e+00   1.7345e-01   6.8020e-02   2.5400e+02   2.1626e+02   2.1638e+02   2.5400e+02
  9.4504e-03   9.4585e-03  -4.6612e+00   1.3815e-01   6.1964e-02   2.9700e+02   2.6060e+02   2.6080e+02   2.9700e+02
  1.0442e-02   1.0455e-02  -4.5611e+00   1.6412e-01   5.6472e-02   3.6700e+02   3.1375e+02   3.1463e+02   3.6700e+02
  1.1538e-02   1.1559e-02  -4.4608e+00   5.9418e-02   5.1487e-02   3.9900e+02   3.7745e+02   3.7701e+02   3.9900e+02
  1.2748e-02   1.2778e-02  -4.3605e+00   6.0323e-02   4.6971e-02   4.8500e+02   4.5352e+02   4.5558e+02   4.8500e+02
  1.4086e-02   1.4106e-02  -4.2615e+00  -1.7354e-02   4.2876e-02   5.4000e+02   5.4429e+02   5.4687e+02   5.4000e+02
  1.5564e-02   1.5587e-02  -4.1617e+00   6.0981e-02   3.9162e-02   6.9400e+02   6.5240e+02   6.5331e+02   6.9400e+02
  1.7197e-02   1.7216e-02  -4.0623e+00   6.6425e-02   3.5798e-02   8.4000e+02   7.8079e+02   7.8447e+02   8.4000e+02
  1.9001e-02   1.9029e-02  -3.9622e+00   1.3518e-02   3.2747e-02   9.5700e+02   9.3308e+02   9.3873e+02   9.5700e+02
  2.0995e-02   2.1025e-02  -3.8624e+00   1.4101e-02   2.9949e-02   1.1460e+03   1.1155e+03   1.1229e+03   1.1460e+03
  2.3198e-02   2.3231e-02  -3.7627e+00   1.1612e-02   2.7366e-02   1.3740e+03   1.3361e+03   1.3473e+03   1.3740e+03
  2.5632e-02   2.5679e-02  -3.6625e+00   1.2746e-02   2.4976e-02   1.6460e+03   1.6040e+03   1.6148e+03   1.6460e+03
  2.8321e-02   2.8375e-02  -3.5626e+00   4.2142e-02   2.2780e-02   2.0210e+03   1.9281e+03   1.9339e+03   2.0210e+03
  3.1293e-02   3.1320e-02  -3.4639e+00   5.9432e-02   2.0773e-02   2.4760e+03   2.3188e+03   2.3285e+03   2.4760e+03
  3.4576e-02   3.4635e-02  -3.3633e+00   6.4760e-02   1.8939e-02   2.9660e+03   2.7894e+03   2.7874e+03   2.9660e+03
  3.8204e-02   3.8282e-02  -3.2632e+00   4.3346e-02   1.7270e-02   3.4750e+03   3.3549e+03   3.3422e+03   3.4750e+03
  4.2212e-02   4.2294e-02  -3.1635e+00  -1.7705e-03   1.5756e-02   4.0170e+03   4.0306e+03   4.0274e+03   4.0170e+03
  4.6642e-02   4.6688e-02  -3.0647e+00   1.3626e-02   1.4375e-02   4.8890e+03   4.8424e+03   4.8327e+03   4.8890e+03
  5.1535e-02   5.1631e-02  -2.9640e+00   1.0870e-02   1.3123e-02   5.8830e+03   5.8105e+03   5.8152e+03   5.8830e+03
  5.6943e-02   5.7090e-02  -2.8635e+00  -5.6718e-03   1.1986e-02   6.9660e+03   6.9653e+03   6.9854e+03   6.9660e+03
  6.2917e-02   6.3058e-02  -2.7641e+00   1.8863e-02   1.0953e-02   8.5150e+03   8.3411e+03   8.3494e+03   8.5150e+03
  6.9519e-02   6.9668e-02  -2.6644e+00   2.8088e-02   1.0005e-02   1.0271e+04   9.9961e+03   9.9932e+03   1.0271e+04
  7.6813e-02   7.6969e-02  -2.5648e+00   1.9074e-02   9.1403e-03   1.2225e+04   1.1977e+04   1.1987e+04   1.2225e+04
  8.4873e-02   8.4981e-02  -2.4657e+00   2.6105e-02   8.3557e-03   1.4798e+04   1.4332e+04   1.4378e+04   1.4798e+04
  9.3778e-02   9.3981e-02  -2.3651e+00   1.1992e-02   7.6495e-03   1.7339e+04   1.7100e+04   1.7117e+04   1.7339e+04
  1.0362e-01   1.0383e-01  -2.2654e+00   2.4263e-02   7.0085e-03   2.0992e+04   2.0370e+04   2.0434e+04   2.0992e+04
  1.1449e-01   1.1468e-01  -2.1660e+00   7.3007e-03   6.4229e-03   2.4391e+04   2.4254e+04   2.4234e+04   2.4391e+04
  1.2650e-01   1.2672e-01  -2.0662e+00   1.5912e-02   5.8877e-03   2.9323e+04   2.8864e+04   2.8864e+04   2.9323e+04
  1.3978e-01   1.4002e-01  -1.9664e+00   2.2252e-03   5.3935e-03   3.4492e+04   3.4396e+04   3.4406e+04   3.4492e+04
  1.5444e-01   1.5474e-01  -1.8664e+00   1.0636e-02   4.8992e-03   4.2240e+04   4.1687e+04   4.1742e+04   4.2240e+04
  1.7065e-01   1.7097e-01  -1.7667e+00   1.5603e-02   4.4026e-03   5.2660e+04   5.1621e+04   5.1738e+04   5.2660e+04
  1.8855e-01   1.8893e-01  -1.6668e+00   4.7436e-03   4.0101e-03   6.2968e+04   6.2221e+04   6.2447e+04   6.2968e+04
  2.0834e-01   2.0867e-01  -1.5674e+00   1.0879e-02   3.7027e-03   7.3791e+04   7.2980e+04   7.2989e+04   7.3791e+04
  2.3020e-01   2.3065e-01  -1.4673e+00   9.7700e-03   3.4232e-03   8.6629e+04   8.5386e+04   8.5590e+04   8.6629e+04
  2.5435e-01   2.5483e-01  -1.3676e+00   5.8714e-03   3.1703e-03   1.0105e+05   9.9551e+04   1.0001e+05   1.0105e+05
  2.8104e-01   2.8149e-01  -1.2681e+00  -3.0784e-03   2.9511e-03   1.1496e+05   1.1489e+05   1.1510e+05   1.1496e+05
  3.1052e-01   3.1108e-01  -1.1681e+00   4.1357e-03   2.7291e-03   1.3518e+05   1.3435e+05   1.3448e+05   1.3518e+05
  3.4311e-01   3.4365e-01  -1.0686e+00   6.6706e-03   2.5010e-03   1.6226e+05   1.5997e+05   1.6058e+05   1.6226e+05
  3.7911e-01   3.7968e-01  -9.6883e-01  -3.0228e-03   2.3147e-03   1.8611e+05   1.8676e+05   1.8671e+05   1.8611e+05
  4.1888e-01   4.1950e-01  -8.6911e-01   2.5373e-03   2.1668e-03   2.1282e+05   2.1311e+05   2.1270e+05   2.1282e+05
  4.6284e-01   4.6354e-01  -7.6928e-01   6.2500e-04   2.0337e-03   2.4074e+05   2.4192e+05   2.4125e+05   2.4074e+05
  5.1140e-01   5.1211e-01  -6.6962e-01   3.3265e-03   1.8777e-03   2.8167e+05   2.8378e+05   2.8225e+05   2.8167e+05
  5.6506e-01   5.6595e-01  -5.6966e-01  -5.1372e-04   1.7471e-03   3.2597e+05   3.2780e+05   3.2697e+05   3.2597e+05
  6.2435e-01   6.2544e-01  -4.6971e-01  -2.6319e-03   1.6298e-03   3.7679e+05   3.7668e+05   3.7723e+05   3.7679e+05
  6.8986e-01   6.9082e-01  -3.7030e-01  -4.1377e-03   1.5127e-03   4.3615e+05   4.3726e+05   4.3761e+05   4.3615e+05
  7.6224e-01   7.6339e-01  -2.7041e-01  -3.4994e-03   1.4173e-03   5.0176e+05   4.9812e+05   5.0081e+05   5.0176e+05
  8.4222e-01   8.4335e-01  -1.7079e-01  -4.3300e-03   1.3349e-03   5.6874e+05   5.6153e+05   5.6635e+05   5.6874e+05
  9.3059e-01   9.3152e-01  -7.1350e-02  -3.1149e-04   1.2819e-03   6.2319e+05   6.0891e+05   6.1615e+05   6.2319e+05
  1.0282e+00   1.0285e+00   2.7706e-02  -6.7404e-03   1.2550e-03   6.4281e+05   6.3528e+05   6.4119e+05   6.4281e+05
  1.1361e+00   1.1363e+00   1.2735e-01   1.0462e-03   1.2723e-03   6.3516e+05   6.1816e+05   6.2633e+05   6.3516e+05
  1.2553e+00   1.2545e+00   2.2630e-01  -4.9144e-03   1.3315e-03   5.6784e+05   5.6441e+05   5.6751e+05   5.6784e+05
  1.3870e+00   1.3837e+00   3.2432e-01  -1.2299e-03   1.4439e-03   4.6532e+05   4.7992e+05   4.7291e+05   4.6532e+05
  1.5326e+00   1.5275e+00   4.2324e-01   4.9256e-03   1.7167e-03   3.1735e+05   3.3953e+05   3.2761e+05   3.1735e+05
  1.6934e+00   1.6806e+00   5.1875e-01   4.5507e-03   2.3852e-03   1.5732e+05   1.7588e+05   1.6620e+05   1.5732e+05
