## {'min_sep': 0.003, 'max_sep': 1.78, 'bin_size': 0.1, 'sep_units': 'deg', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 734472.0}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR           DR         npairs   
  3.1535e-03   3.1536e-03  -5.7596e+00   9.1924e-01   5.6461e-01   6.0000e+00   3.1375e+00   3.1267e+00   6.0000e+00
  3.4843e-03   3.4727e-03  -5.6632e+00   3.1411e-01   5.1308e-01   5.0000e+00   3.7994e+00   3.8030e+00   5.0000e+00
  3.8499e-03   3.8795e-03  -5.5524e+00   9.6815e-01   4.6647e-01   9.0000e+00   4.5965e+00   4.5732e+00   9.0000e+00
  4.2539e-03   4.2651e-03  -5.4577e+00   9.8269e-01   4.2419e-01   1.1000e+01   5.5586e+00   5.5481e+00   1.1000e+01
  4.7002e-03   4.6717e-03  -5.3667e+00   1.2369e+00   3.8586e-01   1.5000e+01   6.7176e+00   6.7042e+00   1.5000e+01
  5.1934e-03   5.0812e-03  -5.2824e+00   1.1580e-01   3.5108e-01   9.0000e+00   8.1146e+00   8.0875e+00   9.0000e+00
  5.7383e-03   5.7343e-03  -5.1616e+00   2.3277e-01   3.1947e-01   1.2000e+01   9.7997e+00   9.7593e+00   1.2000e+01
  6.3404e-03   6.2875e-03  -5.0697e+00   5.2266e-01   2.9070e-01   1.8000e+01   1.1836e+01   1.1825e+01   1.8000e+01
  7.0057e-03   7.0059e-03  -4.9614e+00   7.4328e-01   2.6454e-01   2.5000e+01   1.4292e+01   1.4335e+01   2.5000e+01
  7.7407e-03   7.7176e-03  -4.8645e+00   1.4788e-01   2.4080e-01   2.0000e+01   1.7249e+01   1.7349e+01   2.0000e+01
  8.5529e-03   8.5348e-03  -4.7641e+00   6.1988e-01   2.1927e-01   3.4000e+01   2.0802e+01   2.0954e+01   3.4000e+01
  9.4504e-03   9.4243e-03  -4.6649e+00   5.3882e-01   1.9976e-01   3.9000e+01   2.5065e+01   2.5280e+01   3.9000e+01
  1.0442e-02   1.0449e-02  -4.5617e+00   4.0925e-01   1.8205e-01   4.3000e+01   3.0177e+01   3.0414e+01   4.3000e+01
  1.1538e-02   1.1564e-02  -4.4603e+00  -4.3565e-02   1.6598e-01   3.5000e+01   3.6303e+01   3.6442e+01   3.5000e+01
  1.2748e-02   1.2863e-02  -4.3539e+00   2.8452e-03   1.5143e-01   4.4000e+01   4.3619e+01   4.3748e+01   4.4000e+01
  1.4086e-02   1.4088e-02  -4.2628e+00   4.3606e-01   1.3822e-01   7.6000e+01   5.2355e+01   5.2763e+01   7.6000e+01
  1.5564e-02   1.5611e-02  -4.1602e+00   2.4882e-01   1.2625e-01   7.9000e+01   6.2747e+01   6.3067e+01   7.9000e+01
  1.7197e-02   1.7234e-02  -4.0614e+00   3.7803e-01   1.1541e-01   1.0400e+02   7.5093e+01   7.5353e+01   1.0400e+02
  1.9001e-02   1.9069e-02  -3.9601e+00   2.7236e-01   1.0556e-01   1.1600e+02   8.9752e+01   9.0653e+01   1.1600e+02
  2.0995e-02   2.1004e-02  -3.8635e+00   4.7211e-01   9.6550e-02   1.6000e+02   1.0729e+02   1.0832e+02   1.6000e+02
  2.3198e-02   2.3265e-02  -3.7612e+00   2.6017e-01   8.8221e-02   1.6600e+02   1.2851e+02   1.3054e+02   1.6600e+02
  2.5632e-02   2.5689e-02  -3.6621e+00   1.2568e-01   8.0516e-02   1.7800e+02   1.5428e+02   1.5644e+02   1.7800e+02
  2.8321e-02   2.8377e-02  -3.5626e+00   2.8639e-01   7.3447e-02   2.4600e+02   1.8541e+02   1.8916e+02   2.4600e+02
  3.1293e-02   3.1322e-02  -3.4638e+00   7.6848e-02   6.6960e-02   2.4800e+02   2.2307e+02   2.2697e+02   2.4800e+02
  3.4576e-02   3.4670e-02  -3.3623e+00   9.3711e-02   6.1054e-02   3.0000e+02   2.6831e+02   2.7159e+02   3.0000e+02
  3.8204e-02   3.8282e-02  -3.2632e+00   4.2315e-02   5.5679e-02   3.4300e+02   3.2262e+02   3.2598e+02   3.4300e+02
  4.2212e-02   4.2159e-02  -3.1667e+00   9.7678e-02   5.0788e-02   4.3300e+02   3.8775e+02   3.9144e+02   4.3300e+02
  4.6642e-02   4.6696e-02  -3.0645e+00   4.2150e-03   4.6345e-02   4.7400e+02   4.6566e+02   4.6885e+02   4.7400e+02
  5.1535e-02   5.1573e-02  -2.9652e+00   9.1754e-02   4.2305e-02   6.1700e+02   5.5885e+02   5.6229e+02   6.1700e+02
  5.6943e-02   5.6985e-02  -2.8654e+00   1.1580e-01   3.8635e-02   7.5900e+02   6.7005e+02   6.7573e+02   7.5900e+02
  6.2917e-02   6.3056e-02  -2.7641e+00   1.4556e-01   3.5310e-02   9.4100e+02   8.0218e+02   8.1321e+02   9.4100e+02
  6.9519e-02   6.9572e-02  -2.6658e+00   6.1081e-02   3.2255e-02   1.0410e+03   9.6136e+02   9.7182e+02   1.0410e+03
  7.6813e-02   7.6908e-02  -2.5656e+00   2.4834e-02   2.9465e-02   1.1900e+03   1.1520e+03   1.1567e+03   1.1900e+03
  8.4873e-02   8.5077e-02  -2.4646e+00   3.8840e-02   2.6934e-02   1.4250e+03   1.3787e+03   1.3751e+03   1.4250e+03
  9.3778e-02   9.3984e-02  -2.3650e+00   4.1277e-02   2.4659e-02   1.7040e+03   1.6448e+03   1.6405e+03   1.7040e+03
