## {'min_sep': 0.003, 'max_sep': 1.78, 'bin_size': 0.1, 'sep_units': 'deg', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 4557180.5}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR           DR         npairs   
  1.8855e-01   1.8888e-01  -1.6670e+00   5.7303e-02   5.1884e-03   3.8630e+04   3.7164e+04   3.6832e+04   3.8630e+04
  2.0834e-01   2.0872e-01  -1.5672e+00   4.0385e-02   4.7948e-03   4.4368e+04   4.3517e+04   4.3064e+04   4.4368e+04
  2.3020e-01   2.3061e-01  -1.4674e+00   3.6164e-02   4.4311e-03   5.2509e+04   5.0954e+04   5.0810e+04   5.2509e+04
  2.5435e-01   2.5474e-01  -1.3679e+00   2.0065e-02   4.1014e-03   6.0338e+04   5.9474e+04   5.9310e+04   6.0338e+04
  2.8104e-01   2.8159e-01  -1.2677e+00   2.6771e-02   3.8214e-03   7.0137e+04   6.8511e+04   6.8407e+04   7.0137e+04
  3.1052e-01   3.1111e-01  -1.1680e+00   1.7463e-02   3.5310e-03   8.1336e+04   8.0242e+04   8.0088e+04   8.1336e+04
  3.4311e-01   3.4363e-01  -1.0686e+00   9.1223e-03   3.2381e-03   9.4784e+04   9.5415e+04   9.4664e+04   9.4784e+04
  3.7911e-01   3.7957e-01  -9.6913e-01   1.2270e-02   2.9972e-03   1.0948e+05   1.1137e+05   1.0974e+05   1.0948e+05
  4.1888e-01   4.1933e-01  -8.6952e-01   1.1242e-02   2.8057e-03   1.2378e+05   1.2709e+05   1.2472e+05   1.2378e+05
  4.6284e-01   4.6355e-01  -7.6926e-01  -4.8306e-03   2.6296e-03   1.3632e+05   1.4468e+05   1.4085e+05   1.3632e+05
  5.1140e-01   5.1209e-01  -6.6965e-01  -8.2297e-03   2.4305e-03   1.5708e+05   1.6936e+05   1.6392e+05   1.5708e+05
  5.6506e-01   5.6582e-01  -5.6989e-01  -1.1812e-02   2.2626e-03   1.7954e+05   1.9543e+05   1.8864e+05   1.7954e+05
  6.2435e-01   6.2529e-01  -4.6995e-01  -1.8754e-02   2.1093e-03   2.0366e+05   2.2486e+05   2.1637e+05   2.0366e+05
  6.8986e-01   6.9091e-01  -3.7016e-01  -1.5678e-02   1.9578e-03   2.3637e+05   2.6102e+05   2.5074e+05   2.3637e+05
  7.6224e-01   7.6348e-01  -2.7029e-01  -1.3182e-02   1.8343e-03   2.7467e+05   2.9733e+05   2.8796e+05   2.7467e+05
  8.4222e-01   8.4356e-01  -1.7054e-01  -5.5521e-03   1.7286e-03   3.1708e+05   3.3483e+05   3.2688e+05   3.1708e+05
  9.3059e-01   9.3192e-01  -7.0921e-02  -1.0892e-02   1.6592e-03   3.5593e+05   3.6341e+05   3.6165e+05   3.5593e+05
  1.0282e+00   1.0289e+00   2.8058e-02  -5.2346e-03   1.6241e-03   3.8737e+05   3.7928e+05   3.8432e+05   3.8737e+05
  1.1361e+00   1.1368e+00   1.2781e-01   2.5604e-03   1.6466e-03   3.9821e+05   3.6898e+05   3.8312e+05   3.9821e+05
  1.2553e+00   1.2553e+00   2.2699e-01   5.4971e-03   1.7235e-03   3.8594e+05   3.3682e+05   3.6045e+05   3.8594e+05
  1.3870e+00   1.3833e+00   3.2409e-01   4.5524e-03   1.8688e-03   3.2416e+05   2.8646e+05   3.0466e+05   3.2416e+05
  1.5326e+00   1.5261e+00   4.2232e-01  -1.3798e-02   2.2224e-03   2.1024e+05   2.0256e+05   2.0780e+05   2.1024e+05
  1.6934e+00   1.6805e+00   5.1867e-01  -2.3016e-02   3.0885e-03   9.7034e+04   1.0488e+05   1.0217e+05   9.7034e+04
